Date,Symbol,Source,HeadLine
02/01/63,BAFS,ข่าวหุ้น,ดัชนีปี62ปิดบวก1.02% ซื้อขายต่อวัน5.3หมื่นล. วันนี้หุ้น...
19/12/62,BAFS,ข่าวหุ้น,VGIตามนัดเข้าSET50 BGC-TQM-THG มาวิน
02/12/62,BAFS,ข่าวหุ้น,ลุ้นรัฐสานแผนท่อน้ำมันเพื่อนบ้าน BAFS พร้อมลงทุน จ่อเข้าพบ...
25/11/62,BAFS,ข่าวหุ้น,คอลัมน์ ผู้บริหารซื้อ-ขายหุ้น: 'ปลิว' เก็บของถูก
22/11/62,BAFS,ข่าวหุ้น,คอลัมน์ ผู้บริหารซื้อ-ขายหุ้น: 'อารตา' เคาะขวารัวๆ
22/11/62,BAFS,ข่าวหุ้น,BAFSลั่นQ4ยอดขายพุ่งรับไฮซีซั่น คาดปีหน้ารายได้โต 7% ทุ่ม...
18/10/62,BAFS,ข่าวหุ้น,ตลท.ประกาศ98หุ้นยั่งยืน กลุ่มทรัพยากร-อสังหาฯ-บริการ ติดโผ...
19/09/62,BAFS,ข่าวหุ้น,คอลัมน์ ผู้บริหารซื้อ-ขายทุน: 'ยุทธ' เก็บ EPCO เพิ่ม
18/09/62,BAFS,ข่าวหุ้น,คอลัมน์ ผู้บริหารซื้อ-ขายหุ้น: 'ทอมมี่' ซื้อ CGH เข้าพอร์ต...
17/09/62,BAFS,ข่าวหุ้น,คอลัมน์ ผู้บริหารซื้อ-ขายหุ้น: ผู้บริหาร NOBLE รวมกันขาย!
16/09/62,BAFS,ข่าวหุ้น,บริษัทจดทะเบียน (SET-mai) ที่มีการจ่ายเงินปันและระหว่างกาลปี...
12/09/62,BAFS,ข่าวหุ้น,คอลัมน์ ผู้บริหาร ซื้อ-ขายหุ้น: 'แฟรงค์' ขาย NOBLE รับเงิน...
04/09/62,BAFS,ข่าวหุ้น,คอลัมน์ ผู้บริหารซื้อ-ขายหุ้น: ภรรยา 'บุญ' ขาย THG! เงินเข้า...
02/09/62,BAFS,ข่าวหุ้น,BAFSชิงงานบริการน้ำมันอู่ตะเภา จ่อลุยขยายท่อขนส่งน้ำมันไป...
10/07/62,BAFS,ข่าวหุ้น,ดัชนีสัปดาห์นี้ยังไซด์เวย์ แนะเก็บหุ้นปลอดภัย...
03/07/62,BAFS,ข่าวหุ้น,พลังงานสั่งBAFS-PSTCเร่งสร้าง ท่อส่งน้ำมันเหนือ-อีสานเสร็จ...
17/06/62,BAFS,ข่าวหุ้น,BAFSเตรียมชงรมว.พลังงานใหม่ สานต่อแผนขยายลงทุนท่อน้ำมัน
04/06/62,BAFS,ข่าวหุ้น,BAFSลุ้นคว้างานสนามบินอู่ตะเภา ย้ำรายได้ปีนี้โต 8-9% บุ๊กท่อ...
30/05/62,BAFS,ข่าวหุ้น,"คอลัมน์ ผู้บริหารซื้อ-ขายหุ้น: ""เมธา"" เข้าซื้อบิ๊กล็อต"
29/05/62,BAFS,ข่าวหุ้น,ปัจจัยตปท.ทำดัชนีผันผวน บล.เออีซี แนะเก็บ SSP-TTW-SAWAD และ...
14/05/62,BAFS,ข่าวหุ้น,เทรดเวอร์-การเมืองฉุดดัชนี โบรกฯ แนะหุ้นกำไรโตดี...
11/04/62,BAFS,ข่าวหุ้น,คอลัมน์ สภาแมงเม่า: BAFS รวยเงียบๆ
03/04/62,BAFS,ข่าวหุ้น,"BAFS บล.แลนด์ แอนด์ เฮ้าส์ แนะนำ ""ถือ"" ราคาเป้าหมาย 42 บาท"
01/04/62,BAFS,ข่าวหุ้น,BAFSรายได้ปีนี้โต10% จ่อประมูลงานอู่ตะเภา ทุ่มงบลงทุน3พัน...
19/12/61,BAFS,ข่าวหุ้น,คอลัมน์ ผู้บริหารซื้อ-ขายหุ้น: 'สุนทร' รับเงินไป 255 ลบ. จาก...
11/12/61,BAFS,ข่าวหุ้น,คอลัมน์ ผู้บริหารซื้อ-ขายหุ้น: 'รัตน์' ไล่เก็บ OSP
04/12/61,BAFS,ข่าวหุ้น,คอลัมน์ ผู้บริหารซื้อ-ขายหุ้น: 'ชัชชญา' ซื้อ 'อุชัย' ขาย...
