Date,Symbol,Source,HeadLine
29/09/63,BAFS,ทันหุ้น,BAFSคาดยอดเติมน้ำมันฟื้นขานรับท่องเที่ยวลองสเตย์
28/08/63,BAFS,ทันหุ้น,BAFSยอดขายน้ำมันลด60%ลุ้นโค้งสี่จบดีลโซลาร์ฟาร์ม
25/08/63,BAFS,ทันหุ้น,CBG-CRC-BBLขึ้นชั้นเข้าฟุตซี่-มีเงินจ่อซื้อ
21/07/63,BAFS,ทันหุ้น,'กีรติ พานิชชีวะ' เก็บหุ้น TTL
29/06/63,BAFS,ทันหุ้น,BAFSรับอานิสงส์เที่ยวปันสุขยอดเติมน้ำมันเครื่องบินฟื้น
16/06/63,BAFS,ทันหุ้น,ตลท.ประกาศผลคัดเลือกหุ้น BPP-TTWน้องใหม่เข้าSET50
12/06/63,BAFS,ทันหุ้น,BAFSคาดQ2ผ่านจุดต่ำสุดคลายล็อกเฟส4ผลงานฟื้น
29/05/63,BAFS,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
29/05/63,BAFS,ทันหุ้น,คอลัมน์ Fast Trade KINGSFORD
29/05/63,BAFS,ทันหุ้น,BAFSปรับแผนบุกธุรกิจใหม่รับรายได้หลายทางลดเสี่ยง
14/05/63,BAFS,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน พฤษภาคม
13/05/63,BAFS,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน พฤษภาคม
12/05/63,BAFS,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน พฤษภาคม
30/04/63,BAFS,ทันหุ้น,BAFSดีเดย์เปิดหัวจ่ายน้ำมันรองรับเส้นทางบินในประเทศ
28/04/63,BAFS,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน เม.ย.-พ.ค.
27/04/63,BAFS,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน เม.ย.-พ.ค.
24/04/63,BAFS,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน เมษายน
24/04/63,BAFS,ทันหุ้น,'BAFS'ลุ้นเปิดน่านฟ้าดันธุรกิจหวังปริมาณเติมน้ำมันปีนี้ดี...
23/04/63,BAFS,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน เมษายน
16/03/63,BAFS,ทันหุ้น,BAFSหั่นเป้าน้ำมันวูบ15%แตกไลน์พลังงานทดแทน
03/02/63,BAFS,ทันหุ้น,'BAFS'ปรับกลยุทธ์ลงทุนใหม่รองรับงานอู่ตะเภา-ดอนเมือง
13/01/63,BAFS,ทันหุ้น,BAFSคาดเที่ยวบินขยายตัวหนุนยอดเติมน้ำมันโต3%
19/12/62,BAFS,ทันหุ้น,เปิดโผบจ.ติดSET50-SET100 VGIหลักทรัพย์ใหม่เข้าเกณฑ์
21/11/62,BAFS,ทันหุ้น,ไวยวุฒิ สินเจริญกุล ควักเงิน 4.9 ลบ. เก็บหุ้น STA เข้าพอร์ต
20/11/62,BAFS,ทันหุ้น,วิบูลย์ วัชรสุรังค์ ขายหุ้น RCI โกยเงินเข้าพอร์ต 138.72ล.
22/10/62,BAFS,ทันหุ้น,'BAFS'เข้าไฮซีซันยอดเติมน้ำมันเพิ่มหนุนโค้งท้ายแกร่ง
21/10/62,BAFS,ทันหุ้น,'BAFS'เข้าสู่ไฮซีซันมั่นใจผลงานโดดเด่นบุกภาคเหนือตอนบน
07/10/62,BAFS,ทันหุ้น,BAFSปริมาณเติมน้ำมันโต3%รับไฮซีซัน-ท่องเที่ยวต่อยอด
12/09/62,BAFS,ทันหุ้น,'แฟรงค์ ฟง คึ่น เหลียง'เทหุ้น NOBLE ทิ้ง
04/09/62,BAFS,ทันหุ้น,'บุญ วนาสิน' ทิ้ง 18.82 ล้านหุ้น
02/09/62,BAFS,ทันหุ้น,BAFSชิงประมูลงานอู่ตะเภาเล็งขยายส่งน้ำมันเมียนมา
24/07/62,BAFS,ทันหุ้น,BAFSปรับกลยุทธ์หนุนโต บุ๊กรายได้ภาคเหนือปีแรก
10/07/62,BAFS,ทันหุ้น,'AECS'คัดหุ้นปลอดภัยน่าสอย SYNEX-BAFS-PSL-ASKติดโผ
04/06/62,BAFS,ทันหุ้น,BAFSปรับเป้าโตล้อเที่ยวบินหดบริการน้ำมันทางท่อหนุนรายได้
30/05/62,BAFS,ทันหุ้น,"'เมธา วนดิลก' ทุ่ม 16,500,000 ลบ. ซื้อ EKH 2.5 ล้านหุ้น"
02/05/62,BAFS,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน พฤษภาคม
22/04/62,BAFS,ทันหุ้น,PTGยิ้มค่าการตลาดขาขึ้นหยุดยาวหนุนยอดขายพุ่ง
01/04/62,BAFS,ทันหุ้น,'BAFS'เป๋าตุงยอดเติมน้ำมันพุ่ง ลุยขยายท่อส่งน้ำมัน-ชิงอู่...
20/03/62,BAFS,ทันหุ้น,'วีระพล ไชยธีรัตต์' ทุ่ม 16 ลบ. ซื้อ CWT
07/03/62,BAFS,ทันหุ้น,BAFSรับผลบวกเที่ยวบินเพิ่มยอดเติมน้ำมันโตหนุนรายได้
25/02/62,BAFS,ทันหุ้น,BAFS: บริษัท บริการเชื้อเพลิงการบินกรุงเทพ จำกัด มหาชน
06/02/62,BAFS,ทันหุ้น,BAFSยิ้มรับท่องเที่ยวฟื้นดันปริมาณเติมน้ำมันเพิ่ม
27/12/61,BAFS,ทันหุ้น,ปีจอทมิฬกดพอร์ตVIวูบ'ดร.นิเวศน์-เสี่ยปู่'สูญนับพันล้าน
27/12/61,BAFS,ทันหุ้น,LH-CK-BAซ่อนมูลค่าราคาต่ำกว่าเงินลงทุน
18/12/61,BAFS,ทันหุ้น,BAFSลุ้นยอดTORอู่ตะเภาตั้งเป้ารายได้ปีหน้าโต6%
11/12/61,BAFS,ทันหุ้น,รัตน์ จัดหนัก OSP 16.4 ล้านบาท
19/11/61,BAFS,ทันหุ้น,'BAFS'ลุ้นงบQ4ทำนิวไฮ ตั้งเป้าปีหน้าผลงานโต5%
13/11/61,BAFS,ทันหุ้น,หุ้นยั่งยืนจ่อรับโชคเสนอลดภาษีแทนLTF
13/09/61,BAFS,ทันหุ้น,คอลัมน์ เวทีวิเคราะห์
11/09/61,BAFS,ทันหุ้น,BAFSผลงานเด่นเที่ยวบิน-น้ำมันดันจ่อชิงงานอู่ตะเภา
22/08/61,BAFS,ทันหุ้น,BAFSดีมานด์น้ำมันหนุนเล็งปรับเป้ารายได้โต5-6%
26/07/61,BAFS,ทันหุ้น,BAFSยอดเติมน้ำมันทะลุเป้าท่องเที่ยวบูมหนุนครึ่งหลังโต
28/06/61,BAFS,ทันหุ้น,แนะช้อนBAFSพื้นฐานยังแกร่งตก10%ถูกสุดๆ
25/06/61,BAFS,ทันหุ้น,'BAFS'ยอดเติมน้ำมันพุ่งเล็งอัพเป้าทั้งปีโตกว่า4%
19/06/61,BAFS,ทันหุ้น,ภาพข่าว: คอลัมน์ สังคมธุรกิจทันหุ้น: ลงนาม
14/06/61,BAFS,ทันหุ้น,PTGมองท่องเที่ยวบูมรุกค้าน้ำมันเครื่องบิน
01/06/61,BAFS,ทันหุ้น,BAFSท่องเที่ยวดันโตแรงขยับเป้ารายได้ทะยาน6%
23/05/61,BAFS,ทันหุ้น,BAFSจ่อลงทุนอู่ตะเภาดันยอดขาย1.1พันล.ลิตร
11/05/61,BAFS,ทันหุ้น,PTGคิดใหญ่ผนึกBAFSรุกเติมน้ำมันเครื่องบิน
04/05/61,BAFS,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน พฤษภาคม 2561
03/05/61,BAFS,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน พฤษภาคม 2561
09/04/61,BAFS,ทันหุ้น,BAFSขายน้ำมันQ1พุ่ง ทุ่มงบเพิ่มระบบขนส่ง
04/04/61,BAFS,ทันหุ้น,คอลัมน์ เคาะไป คุยไป
03/04/61,BAFS,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
12/03/61,BAFS,ทันหุ้น,BAFSชูท่องเที่ยวคึกคักหนุนQ1ผลงานเฉิดฉาย
16/01/61,BAFS,ทันหุ้น,BAFSสยายปีกยอดเติมน้ำมันรับธุรกิจการบิน
13/12/60,BAFS,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
27/11/60,BAFS,ทันหุ้น,BAFSจัด500ล.ขยายเติมน้ำมันเคาะเป้า50บาท
09/11/60,BAFS,ทันหุ้น,ตลท.เปิดโผรางวัลหุ้นยั่งยืน
09/10/60,BAFS,ทันหุ้น,BAFSยอดเติมน้ำมันพุ่งไฮซีซันดันไตรมาส4พีค
12/09/60,BAFS,ทันหุ้น,คอลัมน์ เคาะไป คุยไป
28/08/60,BAFS,ทันหุ้น,'BAFS'ไฮซีซันหนุนQ4พีคสนลงทุนเติมน้ำมันอู่ตะเภา
11/08/60,BAFS,ทันหุ้น,โผหุ้นน่าเก็บก่อน'XD'ชู'INTUCH-KCE-SNC'
03/07/60,BAFS,ทันหุ้น,BAFSลุ้นICAOปลดธงแดงยอดน้ำมันพุ่ง5.88พันล.ลิตร
22/06/60,BAFS,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
