Date,Symbol,Source,HeadLine
02/01/63,BFIT,ทันหุ้น,กลุ่มไฟแนนซ์ปี63ร้อนแรงเปิดโผMTC-SAWADเข้าตา
27/12/62,BFIT,ทันหุ้น,TQM-CBGแชมป์หุ้นร้อนเจาะ8บจ.แรงเกิน100%
13/12/62,BFIT,ทันหุ้น,SAWADปั๊มสินเชื่อโตต่อเนื่องดีมานด์หนุน-รุกขยายสาขา
04/12/62,BFIT,ทันหุ้น,10 หลักทรัพย์ที่มีราคาเพิ่มขึ้นสูงสุด: ณ วันอังคารที่ 3...
25/11/62,BFIT,ทันหุ้น,10 หลักทรัพย์ที่มีราคาเพิ่มขึ้นสูงสุด: ณ วันศุกร์ที่ 22...
04/11/62,BFIT,ทันหุ้น,SAWADคึกคักรับไฮซีซันผลักดันสินเชื่อพุ่งตามเป้า
28/10/62,BFIT,ทันหุ้น,'MTC-SAWAD'กำไรยืนหนึ่งพอร์ตสินเชื่อขยายปั๊มผลงาน
01/10/62,BFIT,ทันหุ้น,'ปิยะนันท์ สุวรรณนภาศรี' ปาดหุ้น UKEM ออก
30/09/62,BFIT,ทันหุ้น,'ชายนิด อรรถญาณสกุล' โกยหุ้น PF
27/09/62,BFIT,ทันหุ้น,'ศึกษิต เพชรอำไพ' ซื้อหุ้น MTC
12/09/62,BFIT,ทันหุ้น,'แฟรงค์ ฟง คึ่น เหลียง'เทหุ้น NOBLE ทิ้ง
23/08/62,BFIT,ทันหุ้น,SAWADไม่กระทบธปท.สั่งปรับBFITลั่นรายได้โต20-30%
22/08/62,BFIT,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
01/07/62,BFIT,ทันหุ้น,คอลัมน์ รู้ทันการลงทุน บล.บัวหลวง: SAWAD อัพไซด์มากสุดใน...
21/06/62,BFIT,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
20/06/62,BFIT,ทันหุ้น,คอลัมน์ TECHNICAL INSIGHT
12/06/62,BFIT,ทันหุ้น,SAWADคลอดหุ้นกู้5พันล.รุกฐานลูกค้าปั๊มสินเชื่อโต
23/04/62,BFIT,ทันหุ้น,คีรี กาญจนพาสน์ เก็บหุ้น VGI เข้าพอร์ต
19/04/62,BFIT,ทันหุ้น,SAWADลุ้นสินเชื่อโค้งสองดีต่อโบรกราคากำไรปีนี้งามโต27%
17/04/62,BFIT,ทันหุ้น,โบรกแนะลงทุนSAWADธุรกิจโตแกร่งแม้คู่แข่งสูง
27/03/62,BFIT,ทันหุ้น,SAWADชี้ดีมานด์สะพัดลุยอัพสินเชื่อจำนำโฉนด
11/03/62,BFIT,ทันหุ้น,โบรกแห่สแกนSAWADรวมBFITเสริมอนาคตธุรกิจขยายตัว-เชียร์ซื้อ
21/01/62,BFIT,ทันหุ้น,คอลัมน์ คิดแบบ Yuanta
21/01/62,BFIT,ทันหุ้น,ลือคุมเข้มทุบMTC-SAWAD2บิ๊กแจงปฏิบัติตามเกณฑ์
12/09/61,BFIT,ทันหุ้น,SAWADสินเชื่อ3หมื่นล. ลุยแบงกิ้งเอเยนต์-BFIT
12/09/61,BFIT,ทันหุ้น,คอลัมน์ เคาะไป คุยไป
04/09/61,BFIT,ทันหุ้น,BFITอัดโปรโมชั่นเงินฝากดอกเบี้ยสูงชูสินเชื่อโตกว่า30%
03/09/61,BFIT,ทันหุ้น,คอลัมน์ เคาะไป คุยไป
31/08/61,BFIT,ทันหุ้น,คอลัมน์ ไม้นี้ต้องเคาะ: SAWAD เป้าหมาย 44.00
20/08/61,BFIT,ทันหุ้น,คอลัมน์ เวทีวิเคราะห์
05/07/61,BFIT,ทันหุ้น,SAWADเก็บหุ้นบีฟิทดันสัดส่วนกว่า45%รุกการเงินครบวงจร
19/06/61,BFIT,ทันหุ้น,คุมเข้มบริการNon Bank ECLเด่น-โค้งสองงบฟื้นตัว
06/06/61,BFIT,ทันหุ้น,SAWADคาดQ2งบแจ่มเล็งออกหุ้นกู้ขยายธุรกิจ
18/05/61,BFIT,ทันหุ้น,คอลัมน์ เคาะไป คุยไป
17/05/61,BFIT,ทันหุ้น,หนี้เน่าทุบSAWADเละ'ธิดา'ออกโรงยังเอาอยู่
04/05/61,BFIT,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน พฤษภาคม 2561
03/05/61,BFIT,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน พฤษภาคม 2561
02/04/61,BFIT,ทันหุ้น,คอลัมน์ รู้ทันการลงทุน บล.บัวหลวง: SAWAD พอร์ตสินเชื่อโต...
28/03/61,BFIT,ทันหุ้น,คอลัมน์ เคาะไป คุยไป
08/03/61,BFIT,ทันหุ้น,คอลัมน์ รู้ทันการลงทุน บล.บัวหลวง: SAWAD งบการเงินสวยหรู...
28/02/61,BFIT,ทันหุ้น,คอลัมน์ TECHNICAL INSIGHT
07/02/61,BFIT,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
29/12/60,BFIT,ทันหุ้น,ดักทางหุ้นเข้าSET50 จับตาTPIPP-SAWAD
29/12/60,BFIT,ทันหุ้น,โผหุ้นร้อนแรงแห่งปี RS-ORIทะยาน255%
26/12/60,BFIT,ทันหุ้น,คอลัมน์ รู้ทันการลงทุน บล.บัวหลวง: SAWAD : คาด กำไรทำสถิติ...
15/12/60,BFIT,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
12/12/60,BFIT,ทันหุ้น,คอลัมน์ คิดแบบ Yuanta
29/11/60,BFIT,ทันหุ้น,SAWAD-MTLSดาวลิสซิ่งผนึกกำลังปั้นผลงานแรง
10/11/60,BFIT,ทันหุ้น,SAWADติดโผเข้าMSCIมาร์เก็ตแคป7.1หมื่นล.
11/10/60,BFIT,ทันหุ้น,SAWADแกร่งลุ้น70บ.BFITหนุนอนาคตเริ่ดฟันธงกำไรสุดอลังการ
22/09/60,BFIT,ทันหุ้น,คอลัมน์ รู้ทันการลงทุน บล.บัวหลวง: SAWAD : BFIT หนุนการ...
08/09/60,BFIT,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
08/09/60,BFIT,ทันหุ้น,SAWADเป้าสินเชื่อพุ่ง30%ผลงานพุ่งตามฝัน-แวว61บาท
04/09/60,BFIT,ทันหุ้น,คอลัมน์ รู้ทันการลงทุน บล.บัวหลวง: SAWAD : คาดกำไรทุบสถิติ...
25/08/60,BFIT,ทันหุ้น,คอลัมน์ ไม้นี้ต้องเคาะ: SAWAD
