Date,Symbol,Source,HeadLine
10/01/63,CCET,ทันหุ้น,'เอื้อชาติ กาญจนพิทักษ์' ทุ่มงบ 1.69 ล้าน โกย RJH เข้าพอร์ต
30/12/62,CCET,ทันหุ้น,'เจริญสุข กิจอิทธิ' ควักเงิน 55.80 ล้าน ซื้อ THANI
27/12/62,CCET,ทันหุ้น,'เอื้อชาติ กาญจนพิทักษ์' ซื้อหุ้น RJH จ่ายเงิน 1.62 ล้านบาท
25/12/62,CCET,ทันหุ้น,'รัตน์ ด่านกุล' ควัก 1.23 ลบ. ซื้อ RBF
24/12/62,CCET,ทันหุ้น,ณรงค์ อิงค์ธเนศ เทขาย VCOM ไป 11 ล้านหุ้น!
23/12/62,CCET,ทันหุ้น,'ณรงค์' ขาย VCOM รับทรัพย์ 15.84 ล.
20/12/62,CCET,ทันหุ้น,รัตนา พรรณนิภา เทขาย TQM ไป 5.71 ล้านหุ้น
04/12/62,CCET,ทันหุ้น,'สิริมา' โกยหุ้น HARN อีก 5.8 ล้านหุ้น
29/11/62,CCET,ทันหุ้น,สุจินต์ เทรดดิ้ง THREL 6 ล้านหุ้น
05/09/62,CCET,ทันหุ้น,'กิตติ ตั้งศรีวงศ์' ควักเงิน 3.12 ลบ. กวาดหุ้น CHAYO เข้า...
04/09/62,CCET,ทันหุ้น,'บุญ วนาสิน' ทิ้ง 18.82 ล้านหุ้น
12/07/62,CCET,ทันหุ้น,'อัฐ ทองแตง'เทขาย BDMS 9.93 ล้านหุ้น
21/06/62,CCET,ทันหุ้น,คอลัมน์ 'มานิต' ขาย HMPRO รับทรัพย์ 71 ล.
20/06/62,CCET,ทันหุ้น,'วรวิทย์ วีรบวรพงศ์'เทขาย SGP รับทรัพย์ 1.84 พันลบ.
12/06/62,CCET,ทันหุ้น,'ประธาน ไชยประสิทธิ์' ขายหุ้น OSP ราว 1.01 ล้านบาท
11/06/62,CCET,ทันหุ้น,'ธงชัย จิรอลงกรณ์' ขายหุ้น BDMS รับเงิน 26 ล้านบาท
05/06/62,CCET,ทันหุ้น,'สามารถ ฉั่วศิริพัฒนา'เทขายหุ้น MORE กว่า 147 ลบ.
31/05/62,CCET,ทันหุ้น,'บุญ วนาสิน' ไล่เก็บหุ้น THG เข้าพอร์ต รวมจ่ายเงิน 9.32 ล้าน...
30/05/62,CCET,ทันหุ้น,"'เมธา วนดิลก' ทุ่ม 16,500,000 ลบ. ซื้อ EKH 2.5 ล้านหุ้น"
29/05/62,CCET,ทันหุ้น,'เหิง' อัดงบช็อปหุ้น DELTA
28/05/62,CCET,ทันหุ้น,'บุญ วนาสิน-ศิธา เมฆสวรรค์' ซื้อหุ้น THG รวมกว่า 41 ล้านบาท
24/05/62,CCET,ทันหุ้น,'มานิต อุดมคุณธรรม'ขายหุ้น HMPRO ได้เงินเข้ากระเป๋ารวม 82.82...
23/05/62,CCET,ทันหุ้น,วินัย เตียวสมบูรณ์กิจ ทุ่ม 18.4 ลบ. เก็บ TFG
22/05/62,CCET,ทันหุ้น,'กาญจนา เอื้ออารีมิตร' นำทีมซื้อหุ้น EKH จำนวน 8.5 ล้านหุ้น...
21/05/62,CCET,ทันหุ้น,'ศิธา เมฆสวรรค์' ทุ่มเงิน 15.88 ลบ. ไล่เก็บหุ้น THG
17/04/62,CCET,ทันหุ้น,บิ๊กบอส BTS เก็บหุ้นเพิ่มรวม 195 ล้านบาท
12/04/62,CCET,ทันหุ้น,'ชมกมล พุ่มพันธุ์ม่วง'กวาดหุ้น WP เข้าพอร์ต 6.5 ล้านหุ้น
11/04/62,CCET,ทันหุ้น,'คีรี กาญจนพาสน์' ทุ่ม 109 ล้านบาท ช็อป BTS 10 ล้านหุ้น
10/04/62,CCET,ทันหุ้น,'เอก' ขาย SELIC รับทรัพย์ 17.5 ล.
05/04/62,CCET,ทันหุ้น,แฮง แมน วิลเลี่ยม เชาว์ เก็บหุ้น CCET รวม 2.24 ล้านหุ้น
04/04/62,CCET,ทันหุ้น,'สุขวสา ภูชัชวนิชกุล' ขายหุ้น PTG รวมได้เงิน 12.3 ล้านบาท
05/03/62,CCET,ทันหุ้น,'เปรมชัย' เทหุ้น ITD รับเงินราว 7.44 ล้านบาท
29/01/62,CCET,ทันหุ้น,'เม็ง ฮอย ฟัง' เทขาย KOOL 1.58 ล้านหุ้น
24/12/61,CCET,ทันหุ้น,'ประดิษฐ์ ทีฆกุล' ขายหุ้น BDMS รับ 53 ล้านบ.
21/11/61,CCET,ทันหุ้น,"GBSชี้SETโค้งท้ายโครงการรัฐหนุนมอง1,620-1,660จุด"
25/09/61,CCET,ทันหุ้น,คอลัมน์ TECHNICAL INSIGHT
14/08/61,CCET,ทันหุ้น,คอลัมน์ เคาะไปคุยไป
02/08/61,CCET,ทันหุ้น,เก็งCCETตามDELTAทุนต่างชาติจ่อเข้าฮุบ
10/10/60,CCET,ทันหุ้น,ถอดรหัส TFEX Gold-D ชู ECF-EA หุ้นเด่นทำกำไร
03/10/60,CCET,ทันหุ้น,EPGขานรับสหรัฐลดภาษีจับตาผลงานก้าวกระโดด
29/09/60,CCET,ทันหุ้น,บาทอ่อนค่าหนุนส่งออกCCET-KCEรับประโยชน์
18/07/60,CCET,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
15/06/60,CCET,ทันหุ้น,คอลัมน์ บาดตาเซียน: CCET - บางที เทคนิคดูดีกว่า
09/06/60,CCET,ทันหุ้น,คอลัมน์ บาดตาเซียน: APURE - ตามน้ำกันไป
16/05/60,CCET,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
17/04/60,CCET,ทันหุ้น,จับจังหวะโผหุ้นต่ำบุ๊ก BSBM-BBL-MIDA เด่น PTTEP คาดกำไร...
07/03/60,CCET,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
07/02/60,CCET,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
17/11/59,CCET,ทันหุ้น,คอลัมน์ Fast Trade by แอพเพิลเวลธ์
17/10/59,CCET,ทันหุ้น,คอลัมน์ KSecurities KS(W)hole in ONE: การอ่อนค่าของเงินบาท
19/08/59,CCET,ทันหุ้น,CCETขานรับไฮซีซันรายได้ทะยานปีนี้10%ชูของดีราคาต่ำBV4บ.
29/07/59,CCET,ทันหุ้น,CCETซ่อนมูลค่าปันผลเด่นสะสมเข้าพอร์ตราคาต่ำบุ๊ก
28/01/59,CCET,ทันหุ้น,'CCET'ผนึกทุนไต้หวันโหมดีลใหญ่-งบทุบสถิติ
24/11/58,CCET,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
05/10/58,CCET,ทันหุ้น,คอลัมน์ KSecurities KS(W)hole in ONE: เปิดสนามลงทุน
18/06/58,CCET,ทันหุ้น,'CCET'ขยายฐานลูกค้าลุ้นสิ้นปีรายได้ทุบสถิติ
05/06/58,CCET,ทันหุ้น,โบรกส่องดัชนียังผันผวน ชูหุ้นพื้นฐานดีCCET-VNG
26/05/58,CCET,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
19/05/58,CCET,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
13/05/58,CCET,ทันหุ้น,จับชีพจรหุ้นร้อน
17/03/58,CCET,ทันหุ้น,คอลัมน์ บาดตาเซียน: CCET-เขาว่า กราฟอ่านยาก
27/02/58,CCET,ทันหุ้น,CCETกำไรเหนือเมฆ822%แจกหุ้นปันผล-ตั้งบ.ร่วมทุน
04/02/58,CCET,ทันหุ้น,ดัก4หุ้นเด่นกลุ่มอิเล็กทรอนิกส์KCE-SVI-CCET-TEAMมาแรง
06/11/57,CCET,ทันหุ้น,คอลัมน์ บัญชรหุ้น
15/10/57,CCET,ทันหุ้น,CCETฝรั่งป้อนดีลล็อตใหญ่ ดันยอดโต50%-ต่ำบุ๊ก3.79บ.
18/07/57,CCET,ทันหุ้น,CCETครึ่งปีหลังโตเท่าตัวออเดอร์ทะลัก-กำไรQ4พีค
24/02/57,CCET,ทันหุ้น,รวมบทวิเคราะห์หุ้นเด่น ปี 2557: พิมพ์เขียวตลาดหุ้นปี 57 กรณี...
23/01/57,CCET,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
25/12/56,CCET,ทันหุ้น,KCEเป้ากองทุนLTF-RMFเก็บค่าเงินหนุนกำไร-ต้าน25บ.
24/12/56,CCET,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
23/12/56,CCET,ทันหุ้น,SVI-CCETกำไรทุบสถิติใหม่ส่งซิกมีลุ้นแจกปันผลพิเศษ
16/12/56,CCET,ทันหุ้น,CCETหุ้นต่ำบุ๊ก-ปันผลดี จับตางบQ4/56พลิกกำไร
12/12/56,CCET,ทันหุ้น,คอลัมน์ คิดเป็นเห็นก่อน: ช่วงนี้เป็นห้วงเวลาของการเก็บสะสม...
12/12/56,CCET,ทันหุ้น,คอลัมน์ เวทีวิเคราะห์
04/12/56,CCET,ทันหุ้น,CCETฉายแววพลิกกำไรรับอานิสงส์บาทอ่อนค่า
02/12/56,CCET,ทันหุ้น,SMTผลงานเทิร์นอะราวนด์ รายได้ปีนี้เติบโต9พันล้าน
16/10/56,CCET,ทันหุ้น,CCETดันรายได้เข้าเป้า10%ส่งชิ้นส่วนPrinterโกยกำไร
19/09/56,CCET,ทันหุ้น,สหรัฐฟื้นหุ้นอิเล็กทรอนิกส์ CCET-DELTA-SMTน่าสน
19/09/56,CCET,ทันหุ้น,คอลัมน์ บาดตาเซียน: TRC...เคยเห็นโครงสร้างแบบนี้ มาแล้ว...
16/09/56,CCET,ทันหุ้น,"คอลัมน์ บาดตาเซียน: CCET...บาดตา""สวนกระแส"""
12/09/56,CCET,ทันหุ้น,คอลัมน์ บาดตาเซียน: CCET...แม้ว่ายังไม่ยืนยันขาขึ้น แต่...?
12/09/56,CCET,ทันหุ้น,CCETส่องงบQ4ฟื้นแรง พันธมิตรหนุน-เป้า4.60บ.
28/08/56,CCET,ทันหุ้น,เงินบาทอ่อนค่าในรอบ3ปีSTA-CPF-SVIเร่งส่งออก
23/07/56,CCET,ทันหุ้น,BSBMปลื้มSCGป้อนออเดอร์เร่งขยายงาน-ยอดขายพุ่ง30%
02/07/56,CCET,ทันหุ้น,กูรูเชียร์ตุนหุ้นปันผลสูง6-10%SNCครึ่งแรกสูง-BANPUต่ำบุ๊ก
27/06/56,CCET,ทันหุ้น,"""CCET""บาทอ่อนหนุนกำไรราคาอัพไซด์71%-เป้า4.60บ."
26/06/56,CCET,ทันหุ้น,ดัชนีหุ้นไทยเริ่มฟื้นไข้สอยหุ้นปันผลระหว่างกาล
16/05/56,CCET,ทันหุ้น,คอลัมน์ เวทีวิเคราะห์
22/04/56,CCET,ทันหุ้น,CCETสอยงานใหม่ตุนยอดขายราคาหุ้นถูก-เทคนิคแตะ3.80บ.
08/03/56,CCET,ทันหุ้น,"SPPTขยายไลน์ดันมาร์จิ้น""CCET""ออเดอร์ล้นกำไรพุ่ง"
05/03/56,CCET,ทันหุ้น,"""CCET""ยิ้มรับออเดอร์HPดันรายได้-กำไรโตกระฉูด"
14/02/56,CCET,ทันหุ้น,CCETรวยรายใหญ่ป้อนงานกำไรสะสมทะยาน9พันล้าน
25/01/56,CCET,ทันหุ้น,คอลัมน์ บาดตาเซียน: CCET...ว่าตามสัญญาณ ไม่เกี่ยวพื้นฐาน
03/12/55,CCET,ทันหุ้น,"""CCET""ปั๊มผลงานปี55พุ่ง250% HPดันราคาหุ้นชนบุ๊ก3.78บาท"
07/11/55,CCET,ทันหุ้น,"""CCET"" ผลงานทะลุพันล้านเซียนชี้หุ้นต่ำบุ๊ก3.70บาท"
03/04/55,CCET,ทันหุ้น,KCEราคาเมินขึ้นค่าแรงลุ้นทะลุแนวต้าน5.75บ.
21/12/54,CCET,ทันหุ้น,คอลัมน์ เมนูหุ้นเด็ด
19/12/54,CCET,ทันหุ้น,คอลัมน์ เมนูหุ้นเด็ด: STOCK TIPS
20/10/54,CCET,ทันหุ้น,"""PAP""สวมชูชีพหนีน้ำท่วมคาดอุตสาหกรรมไทยหดตัว"
18/10/54,CCET,ทันหุ้น,SVI ยอดขาย Q3/54 จ่อนิวไฮ ออเดอร์ท่วม-เร่งกำลังผลิต
13/10/54,CCET,ทันหุ้น,จัดโผหุ้นเสี่ยงน้ำท่วม หุ้นอิเล็กทรอนิกส์กระอัก
10/10/54,CCET,ทันหุ้น,'KCE'ออเดอร์ล้นมือ ผลิตโรงงานอยุธยาต่อ
21/09/54,CCET,ทันหุ้น,KCEยันไตรมาส3ผลงานสดใสชงบอร์ดขยายโรงงาน2.2พันล.
