Date,Source,HeadLine
21/03/62,ทันหุ้น,ESTARเปิด5โครงการใหม่ ปั๊มยอดขายแตะ3พันล้าน
26/11/61,ทันหุ้น,ESTARรุกภาคตะวันออกผุดโปรเจ็กต์ใหญ่รับอีอีซี
27/09/61,ทันหุ้น,ESTARยอดขายทะลุเป้า ผุดคอนโดหรู1.5พันล้าน
09/05/61,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน พฤษภาคม 2561
08/05/61,ทันหุ้น,หุ้นขึ้นเครื่องหมาย: ประจำเดือน พฤษภาคม 2561
07/05/61,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน พฤษภาคม 2561
30/03/61,ทันหุ้น,ESTARยอดขายปีนี้โต50% ตั้งเป้าโกยรายได้2พันล้าน
11/01/61,ทันหุ้น,คัดหุ้นอสังหายิลด์4-7% ชูLPNปีแห่งการฟื้นตัว
20/11/60,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
17/11/60,ทันหุ้น,อสังหาเล็กซ่อนมูลค่าPRIN-RICHYกำไรพุ่ง
04/10/60,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
17/07/60,ทันหุ้น,ESTARทุนเอเชียผนึกกำลังรุกโรงแรมหนุนงบอลังการ
28/04/60,ทันหุ้น,เจาะหุ้นอสังหาขนาดเล็กหมัดเด็ดPRECHA-ESTAR
25/04/60,ทันหุ้น,ESTARบุ๊กดีลใหญ่'นารา9'ดันยอดขายทั้งปีทะลุพันล.
17/04/60,ทันหุ้น,จับจังหวะโผหุ้นต่ำบุ๊ก BSBM-BBL-MIDA เด่น PTTEP คาดกำไร...
03/04/60,ทันหุ้น,ดัก 5 หุ้นเด่นอสังหา-สตอรี่เด็ด ESTAR-PRECHA เปลี่ยนแรง
22/03/60,ทันหุ้น,สแกนหุ้นเด่นราคาต่ำบุ๊ก BSBM-PRIN ดาวรุ่ง
03/03/60,ทันหุ้น,ESTARโชว์งบปี59แจ่มกวาดกำไรพุ่ง216ล้านตั้งเป้ารายได้ทะยาน20%
01/03/60,ทันหุ้น,PRIN-SENA ผลงานนิวไฮ อวดงบปี 59 กำไรพุ่ง 200%
28/02/60,ทันหุ้น,'ESTAR' ผนึกกำลังต่างชาติ ผุดโครงการยักษ์-กำไรนิวไฮ
01/02/60,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
01/02/60,ทันหุ้น,ESTAR เศรษฐีที่ดินพันไร่กลุ่มทุนจ้อง-รายได้นิวไฮ
27/12/59,ทันหุ้น,ESTAR เฮงรายใหญ่ซื้อที่ดิน พื้นฐานแน่น-ต่ำบุ๊ก 0.91 บ.
