Date,Symbol,Source,HeadLine
07/01/63,GBX,ทันหุ้น,10 หลักทรัพย์ที่มีราคาลดลงต่ำสุด: ณ วันจันทร์ที่ 6 มกราคม...
18/02/62,GBX,ทันหุ้น,'GBX'สยบข่าวลือทุกประเด็นโชว์แกร่งเดินหน้าด้วยตัวเองได้
14/02/62,GBX,ทันหุ้น,หึ่งโกลเบล็กโดนหยวนต้าเทกธนพิศาลปฏิเสธแต่พร้อมเจรจา
30/05/61,GBX,ทันหุ้น,โกลเบล็กปรับโมเดลธุรกิจสยายปีกลงทุนครบวงจร
11/07/60,GBX,ทันหุ้น,ภาพข่าว: ทำเนียบทันหุ้น: โรดโชว์
04/07/60,GBX,ทันหุ้น,GBXส่งซิกปีนี้งบสวยรุกหนักIBปั๊มรายได้ลดสัดส่วนคอมมิสชัน
20/02/60,GBX,ทันหุ้น,GBSอัพมาร์เก็ตแชร์แตะ3%เล็งสยายปีกงานวาณิชธนกิจ
20/01/60,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
12/05/59,GBX,ทันหุ้น,ภาพข่าว: ประชุมผู้ถือหุ้น
04/05/59,GBX,ทันหุ้น,GBXพร้อมลุยธุรกิจใหม่เชียร์ซื้ออสังหา-พลังงาน
05/10/58,GBX,ทันหุ้น,"GBXชูอสังหาเด่นสุดแนะลงทุนSIRI-PSกรอบ1,335-1,365จุด"
29/09/58,GBX,ทันหุ้น,คอลัมน์ STOCK OF THE TOWN
18/09/58,GBX,ทันหุ้น,แบงก์ชาติจับตาเฟดตลาดทุนไทยแกร่งGBXรุกวาณิชธนกิจ
10/07/58,GBX,ทันหุ้น,GBXชี้กรีซกดดันดัชนีเก็งหุ้นแจ้งงบโค้ง2แจ่มPTTGC-MTLS-SYNEX
26/06/58,GBX,ทันหุ้น,GBXมองหุ้นไทยไซด์เวย์แนะจับตากลุ่มแบงก์แจ้งงบQ2
09/06/58,GBX,ทันหุ้น,เฟดขึ้นดอกเบี้ยฉุดทองดิ่งGBXชี้ช่องทยอยลงทุน
09/04/58,GBX,ทันหุ้น,GBXมองราคาทองคำผันผวนแนะเปิดสถานะLongฟิวเจอร์ส
02/04/58,GBX,ทันหุ้น,GBXมองหุ้นไทยยังผันผวนลุ้นราคาทองมีโอกาสฟื้นตัว
27/03/58,GBX,ทันหุ้น,GBXชี้มีลุ้นราคาทองฟื้นตัวหลังเฟดคงอัตราดอกเบี้ย
02/02/58,GBX,ทันหุ้น,'GBX'โชว์กำไรปี58พุ่งเท่าตัวตั้งบ.ย่อยผุดโรงไฟฟ้า10MW
25/12/57,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
22/12/57,GBX,ทันหุ้น,คอลัมน์ GloblexSecurities: Boom Stock
04/11/57,GBX,ทันหุ้น,GBXชี้เฟดขึ้นดอกเบี้ยกดดันราคาทองแนะลงทุนยาว...
09/10/57,GBX,ทันหุ้น,ASP-MBKETเด่นสุดกลุ่มโบรกจับตากำไรไตรมาส3ทำไฮใหม่
14/05/57,GBX,ทันหุ้น,"""โกลเบล็ก""ดักทางทองผันผวนปักธงเล่นSUPER-EVER-ICHI"
04/03/57,GBX,ทันหุ้น,"'โกลเบล็ก'แนะเก็งกำไรทองคำ ชูกรอบลงทุน1,305-1,375ดอลลาร์"
12/02/57,GBX,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
17/01/57,GBX,ทันหุ้น,GBXปรับพอร์ตโกยยิลด์10%ดัชนีผันผวนสอยPTTEP-SCB
06/01/57,GBX,ทันหุ้น,คอลัมน์ TECHNICALเชิงกลยุทธ์: มีโอกาสทำReboundสวนแต่ก็ยัง...
