Date,Symbol,Source,HeadLine
01/08/62,IFEC,ทันหุ้น,ปรีชา ชัยพรหมประสิทธิ์ ปล่อยหุ้น TTI รับทรัพย์กว่า...
31/07/62,IFEC,ทันหุ้น,พาพิชญ์ วงศ์ไพฑูรย์ปิยะ ทุ่ม 148.8 ล้านบ.ซื้อหุ้น RSP
26/07/62,IFEC,ทันหุ้น,โค้งสุดท้าย16หุ้นปลดSPตระกูลดังแห่ซื้อ-ทิ้งหุ้นใด
02/07/62,IFEC,ทันหุ้น,19บจ.บวกแค่BLISS-PROขายเปิดEARTH-IFECเศร้า
01/07/62,IFEC,ทันหุ้น,เปิดซื้อขาย16บจ.วันนี้ฝุ่นตลบBUI-BLISS-PRO-A5งบเริ่มดี
24/06/62,IFEC,ทันหุ้น,คอลัมน์ Yuanta: ตลาดปลด SP ชั่วคราว
24/06/62,IFEC,ทันหุ้น,'ทวิช'ไม่ขาย'IFEC'ย้ำชัดธุรกิจยังมีหวังบอร์ดเร่งแผนฟื้นฟู
21/06/62,IFEC,ทันหุ้น,จุดเสี่ยงปล่อยผีปลดSPชั่วคราวรายเก่าออกรายใหม่ติดระวังพัง!
19/06/62,IFEC,ทันหุ้น,ตลท.ลุยไฟเทรดหุ้นSPกรณีค้านจ่อแจงก.ล.ต.
21/03/62,IFEC,ทันหุ้น,ก.ล.ต.สั่งบอร์ดIFECเร่งจัดทำงบดุลการเงิน ส่งต่อตลท.เปิด...
21/12/61,IFEC,ทันหุ้น,ก.ล.ต.ขอผู้ถือหุ้นIFECเข้าประชุมตั้งกรรมการสางปัญหา-ชูธง...
14/11/61,IFEC,ทันหุ้น,ประกาศเรื่อง การขายทอดตลาดหุ้น IFEC
13/11/61,IFEC,ทันหุ้น,ประกาศเรื่อง การขายทอดตลาดหุ้น IFEC
12/11/61,IFEC,ทันหุ้น,ประกาศเรื่อง การขายทอดตลาดหุ้น IFEC
10/10/61,IFEC,ทันหุ้น,'IFEC'เดินแผนฟื้นธุรกิจจ่อชงผถห.เฟ้นตั้งบอร์ด
05/09/61,IFEC,ทันหุ้น,ก.ล.ต.ฟ้องคดีต่อศาลแพ่งลงโทษสูงสุดผู้บริหารIFEC
24/08/61,IFEC,ทันหุ้น,'ก.ล.ต.'ลงโทษผู้บริหาร'IFEC'กรณีใช้ข้อมูลภายในขายหุ้น
01/08/61,IFEC,ทันหุ้น,คอลัมน์ คนหลังกระดาน
08/06/61,IFEC,ทันหุ้น,'ก.ล.ต.'สั่งIFECจัดประชุมผถห.เร่งตั้งกรรมการ
25/05/61,IFEC,ทันหุ้น,กรรมการIFECยื่นก.ล.ต.หนุนจัดประชุมผู้ถือหุ้น
27/12/60,IFEC,ทันหุ้น,ECFรุกโรงไฟฟ้าเหนือกำลังผลิต1เมกะวัตต์
16/10/60,IFEC,ทันหุ้น,ประกาศเรื่อง การขายทอดตลาดหุ้น IFEC
12/10/60,IFEC,ทันหุ้น,ประกาศเรื่อง การขายทอดตลาดหุ้น IFEC
11/10/60,IFEC,ทันหุ้น,ประกาศเรื่อง การขายทอดตลาดหุ้น IFEC
08/08/60,IFEC,ทันหุ้น,ประกาศเรื่อง การขายทอดตลาดหุ้น IFEC
