Date,Symbol,Source,HeadLine
14/07/60,MDX,ทันหุ้น,ROJNA-NNCLฟื้นตัวแรงบุ๊กขายที่ดิน-ไฟฟ้าเต็มสูบ
31/05/60,MDX,ทันหุ้น,'MDX'รุกพลังงานภาครัฐเด้งรับEECหนุนงบโตเด่น
19/04/60,MDX,ทันหุ้น,'กลุ่มนิคม' เฮงรับนโยบายรัฐ MDX-TFD-WHA เสือนอนกิน
04/04/60,MDX,ทันหุ้น,MDX กลุ่มญี่ปุ่นจ้องซื้อที่ดิน จัดทัพร่วมทุนพลังงานตปท.
16/02/60,MDX,ทันหุ้น,'กลุ่มนิคม' ยิ้มรับแผน EEC TFD-MDX-WHA ส้มหล่น
30/01/60,MDX,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
26/01/60,MDX,ทันหุ้น,MDX ปักธงรายได้โต 10% จ่อขายที่ดิน-ลุยพลังงาน
11/01/60,MDX,ทันหุ้น,MDX ต่างชาติเล็งที่ดินพันไร่ เดินเกมรุกโรงไฟฟ้าเต็มสูบ
20/12/59,MDX,ทันหุ้น,MDX ธุรกิจผ่านจุดต่ำสุด เดินเกมร่วมทุนพลังงาน
28/11/59,MDX,ทันหุ้น,MDX ผลงานเทิร์นอะราวด์ จ่อล้างขาดทุน-จ่ายปันผล
01/11/59,MDX,ทันหุ้น,MDX ใกล้พ้นบ่วงแผนฟื้นฟู อิเล็กทรอนิกส์รายใหญ่ตั้งรง.
12/10/59,MDX,ทันหุ้น,'MDX' พ้นบ่วงฟื้นฟูกิจการ รุกพลังงานอัพฐานแข็งแกร่ง
21/09/59,MDX,ทันหุ้น,NNCL บุ๊กโรงไฟฟ้า 125 MW MDX ปลดล็อกที่ดิน 1 พันไร่
05/09/59,MDX,ทันหุ้น,MDX ธุรกิจผ่านจุดต่ำสุด บุ๊กโรงไฟฟ้ากำไรก้อนโต
09/08/59,MDX,ทันหุ้น,'MDX' ทุนสิงคโปร์ฮุบที่ 200 ไร่ จับตาผลงานแรง-อัพฐานผลิต
30/06/59,MDX,ทันหุ้น,'TFD-MDX' ยอดขายที่ดินล้น เด้งรับเขตเศรษฐกิจตะวันออก
13/06/59,MDX,ทันหุ้น,TFD-MDXเด้งรับพื้นที่ศก.พิเศษบุ๊กกำไรขายที่ดินสุดอลังการ
10/05/59,MDX,ทันหุ้น,MDXโรงไฟฟ้า500MWคืบเล็งล้างขาดทุน2.05พันล้าน
18/04/59,MDX,ทันหุ้น,MDXซุ่มร่วมทุนไทย-จีนลุยโรงไฟฟ้าแถบอาเซียน
18/03/59,MDX,ทันหุ้น,'กลุ่มนิคม'เด้งรับบีโอไอTICONควงMDXราศีจับ
04/03/59,MDX,ทันหุ้น,'MDX'ล้างขาดทุนสะสมเปิดเกมร่วมทุนรุกพลังงาน
23/02/59,MDX,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
