Date,Source,HeadLine
03/01/63,ทันหุ้น,'ไล้ ฮวด โก็ะ ' ขายหุ้น ได้เงินเข้ากระเป๋า 4.18 ล้านบาท
27/12/62,ทันหุ้น,'เอื้อชาติ กาญจนพิทักษ์' ซื้อหุ้น RJH จ่ายเงิน 1.62 ล้านบาท
24/12/62,ทันหุ้น,ณรงค์ อิงค์ธเนศ เทขาย VCOM ไป 11 ล้านหุ้น!
23/12/62,ทันหุ้น,'ณรงค์' ขาย VCOM รับทรัพย์ 15.84 ล.
16/12/62,ทันหุ้น,อภิชาติ เพ็งศรีทอง ขายหุ้น MTC เก็บเงินเข้ากระเป๋า12.25ล้าน
11/12/62,ทันหุ้น,ธิติพงศ์ ตั้งพูนผลวิวัฒน์ ควักงบ7.85ล้าน ซื้อGEL46.2ล้านหุ้น
06/12/62,ทันหุ้น,'ภาณุ ศีติสาร' ควักเงินซื้อ PSTC จำนวน 9 ล้านหุ้น
04/12/62,ทันหุ้น,'สิริมา' โกยหุ้น HARN อีก 5.8 ล้านหุ้น
02/12/62,ทันหุ้น,'สุรชัย เชษฐโชติศักดิ์' ขายหุ้น RS โกยเงินเข้ากระเป๋า 1.3...
25/11/62,ทันหุ้น,MJDอัดแคมเปญใหญ่ลด5ล้านฟรี5รายการจัดเต็ม13คอนโดชั้นนำ
14/11/62,ทันหุ้น,'สุขุม โตการัณยเศรษฐ์' ทิ้งหุ้น KSL รับทรัพย์ 2.72 ล้านบาท
11/11/62,ทันหุ้น,'ปิยะดา สุวรรณนภาศรี' เทหุ้น UKEM 6.4 ล้านหุ้น
08/11/62,ทันหุ้น,'ศึกษิต เพชรอำไพ'ขาย MTC 6.03 แสนหุ้น
06/11/62,ทันหุ้น,'ตรีขวัญ บุนนาค'เทหุ้น SVI 4.5 ล้านหุ้น
04/11/62,ทันหุ้น,'ชัยโรจน์ เวทย์นฤมาณ' ทิ้งหุ้น APCS
01/11/62,ทันหุ้น,'เบน เตชะอุบล' ทุ่ม 170 ล้านบาท ซื้อ CGD เข้าพอร์ต
30/10/62,ทันหุ้น,'องอาจ ดำรงสกุลวงษ์'ทุ่ม 1.94 ลบ. ซื้อหุ้น IHL
29/10/62,ทันหุ้น,'สุทธิภัค จิราธิวัฒน์' ซื้อ-ขายหุ้น CPN
28/10/62,ทันหุ้น,'รัตน์ ด่านกุล' เทหุ้น RBF
22/10/62,ทันหุ้น,'แสงเดือน อิ๋วบำรุง' ซื้อหุ้น EIC
30/08/62,ทันหุ้น,'ณัชชัชพงศ์ พีระเดชาพันธ์' ขายหุ้น TKN
29/08/62,ทันหุ้น,แสงเดือน อิ๋วบำรุง โกยหุ้น EIC
