Date,Symbol,Source,HeadLine
24/12/62,PHATRA,ข่าวหุ้น,เปิดโผ10กองทุนหุ้นยีลด์สูงปรี๊ด บลจ.ทหารไทย แชมป์สูงสุด ผล...
25/10/62,PHATRA,ข่าวหุ้น,Phatra: เรื่อง ขอเชิญประชุมวิสามัญผู้ถือหนุ่วยลงทุนของกองทุน...
06/08/62,PHATRA,ข่าวหุ้น,Phatra Asset Management: ประกาศมูลค่าทรัพย์สิน มูลค่า...
06/08/62,PHATRA,ข่าวหุ้น,Phatra Asset Management: ประกาศมูลค่าทรัพย์สิน มูลค่า...
18/04/62,PHATRA,ข่าวหุ้น,Phatra Asset Management: เรื่อง ขอเชิญประชุมสามัญผู้ถือหน่วย...
18/04/62,PHATRA,ข่าวหุ้น,Phatra Asset Management: เรื่อง ขอเชิญประชุมสามัญผู้ถือหน่วย...
18/03/62,PHATRA,ข่าวหุ้น,บลจ.ภัทรวางแผนโต10% แนะลงทุนกระจายเสี่ยง
27/02/62,PHATRA,ข่าวหุ้น,'ภัทร'ส่ง2กองใหม่ สร้างผลตอบแทน ช่วงตลาดผันผวน
14/02/62,PHATRA,ข่าวหุ้น,Phatra Asset Management: ประกาศ: เรื่อง ประกาศมูลค่า...
08/02/62,PHATRA,ข่าวหุ้น,Phatra Asset Management: ประกาศ: เรื่อง ประกาศมูลค่า...
08/02/62,PHATRA,ข่าวหุ้น,Phatra Asset Management: ประกาศ: เรื่อง ประกาศมูลค่า...
06/02/62,PHATRA,ข่าวหุ้น,Phatra Asset Management: ประกาศ: เรื่อง ประกาศมูลค่า...
06/02/62,PHATRA,ข่าวหุ้น,Phatra Asset Management: ประกาศ: เรื่อง ประกาศมูลค่า...
15/01/62,PHATRA,ข่าวหุ้น,รายงานพิเศษ: กองทุนรวมให้ผลตอบแทนเยี่ยม 5 ปีต่อเนื่อง
03/01/62,PHATRA,ข่าวหุ้น,รายงานพิเศษ: 50 กองทุนรวมผลตอบแทนสูงปี 2018
22/11/61,PHATRA,ข่าวหุ้น,Phatra Asset Management: ประกาศ เรื่อง ประกาศมูลค่าทรัพย์สิน...
21/11/61,PHATRA,ข่าวหุ้น,กรุงศรีเปิดกว้าง คัดกองทุนเด่น ซื้อขายผ่านแอป
20/11/61,PHATRA,ข่าวหุ้น,บลจ.ภัทรเปิดตัว 3กองทุนเลี้ยงชีพ ช่วยลดหย่อนภาษี
15/11/61,PHATRA,ข่าวหุ้น,รายงานพิเศษ: 50 กองทุนรวมผลตอบแทนสูงช่วงไตรมาส 3
