Date,Source,HeadLine
10/01/63,ทันหุ้น,'เอื้อชาติ กาญจนพิทักษ์' ทุ่มงบ 1.69 ล้าน โกย RJH เข้าพอร์ต
09/01/63,ทันหุ้น,PLATรับรู้เดอะมาร์เก็ตเต็มปีดันปี62รายได้โต25%ตามเป้า
23/12/62,ทันหุ้น,'ณรงค์' ขาย VCOM รับทรัพย์ 15.84 ล.
20/12/62,ทันหุ้น,รัตนา พรรณนิภา เทขาย TQM ไป 5.71 ล้านหุ้น
19/12/62,ทันหุ้น,เปิดโผบจ.ติดSET50-SET100 VGIหลักทรัพย์ใหม่เข้าเกณฑ์
11/12/62,ทันหุ้น,GPSCเข้าดัชนีFTSEใหญ่ คาดกำไรปีหน้าผงาด94%
03/12/62,ทันหุ้น,PLATต่อสัญญาเช่าที่รุกตลาดนัดกลางคืนเปิดDon Don Donki
29/11/62,ทันหุ้น,สุจินต์ เทรดดิ้ง THREL 6 ล้านหุ้น
28/10/62,ทันหุ้น,PLATปั๊มลูกค้าใหม่ตุนพอร์ตจ่อเช่าพื้นที่ดันรายได้ต่อเนื่อง
25/09/62,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
02/09/62,ทันหุ้น,KTCตั้ง4บริษัทย่อยทำธุรกิจ Pico Plus MCSรับออเดอร์ใหม่
10/06/62,ทันหุ้น,PLATรับรู้ 'The Market' ชี้ธุรกิจค่าเช่าแข็งแกร่ง
21/05/62,ทันหุ้น,PLATรายได้Q1โตคาดปี65แตะ5พันล.เดอะมาร์เก็ตหนุน
19/03/62,ทันหุ้น,คอลัมน์ เคาะไป คุยไป
18/03/62,ทันหุ้น,สุรชัย โชติจุฬางกูร ใส่เงินซื้อหุ้น PLAT กว่า 34 ล้านบาท
18/03/62,ทันหุ้น,'PLAT'พื้นที่เช่าดันเป้าพุ่ง35% ทุ่ม1.78พันล.ลุยเดอะ...
28/02/62,ทันหุ้น,'PLAT'บุ๊กเดอะมาร์เก็ตเฟส1 อัดฉีดงบ3พันล้านรุกโรงแรม
13/02/62,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
08/02/62,ทันหุ้น,คอลัมน์ TECHNICAL INSIGHT
06/02/62,ทันหุ้น,เก็บหุ้นแกร่ง ชู ERW-PLAT
26/11/61,ทันหุ้น,'PLAT'โกยค่าเช่า-โรงแรมอัดงบกว่า2พันล้านลุยปี62
08/11/61,ทันหุ้น,'PLAT'ทุ่ม3พันล้านอัพฐานปักหมุดรายได้ปีหน้าโต40%
16/10/61,ทันหุ้น,PLATซุ่มเจรจาพันธมิตรสร้างฐานแกร่งรับอนาคต
06/09/61,ทันหุ้น,คอลัมน์ AT THE OPEN #ATO: หุ้นเด่น กันยายน และกลยุทธ์การ...
22/08/61,ทันหุ้น,คอลัมน์ เคาะไป คุยไป
22/08/61,ทันหุ้น,คอลัมน์ TECHNICAL INSIGHT
21/08/61,ทันหุ้น,PLATปรับเป้ารายได้พุ่ง10%ขึ้นค่าเช่าหนุน
01/08/61,ทันหุ้น,PLATโกยค่าเช่า-อัพพื้นที่ เดอะมาร์เก็ตหนุนกินยาว
25/06/61,ทันหุ้น,PLATโชว์พื้นที่เช่าพุ่ง90%เล็งเปิดช็อปปิ้งมอลล์Q4
30/05/61,ทันหุ้น,PLATเข้าตากองมาเลย์คอนเฟิร์มรายได้โต5%
07/05/61,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน พฤษภาคม 2561
12/04/61,ทันหุ้น,PLATโค้งแรกดีขยับค่าเช่าเพิ่มโรงแรมพัก95%
09/03/61,ทันหุ้น,PLATคาดไตรมาสแรกฟอร์มสวยเร่งลงทุนหวังผลปี62รายได้นิวไฮ
21/02/61,ทันหุ้น,'PLAT'ปรับค่าเช่าดันรายได้ทะยาน5%รุกขยายพอร์ตเช่าเพิ่ม
19/02/61,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
16/02/61,ทันหุ้น,สัมภาษณ์พิเศษ: PLATเป้ารายได้โต5%ทุ่มทุนเดอะมาร์เก็ต
29/01/61,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
29/12/60,ทันหุ้น,'PLAT'ควักงบ2พันล้านเสริมแกร่งพื้นที่เช่าเพิ่ม
18/12/60,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
12/12/60,ทันหุ้น,PLATเตะตากองทุนจ้องการันตีรายได้ทะลุ2พันล.
16/11/60,ทันหุ้น,PLATปล่อยหมัดเด็ดท้ายปีอัดโปรแรงปั๊มยอดเข้าเป้า
15/11/60,ทันหุ้น,คอลัมน์ AT THE OPEN #ATO: ผลประกอบการ 3Q/60 ค้าปลีกเด่น...
06/11/60,ทันหุ้น,ต่างชาติจ่อทิ้งหุ้นฉุดดัชนีปรับลดลงแนะฉวยเก็บของดี
02/11/60,ทันหุ้น,โผหุ้นเข้าSET50/SET100 TPIPPมีลุ้นมองเป้า9.50บ.
18/10/60,ทันหุ้น,CPN-ROBINSรับไฮซีซันจับตารัฐลดภาษีปลายปี
09/10/60,ทันหุ้น,คอลัมน์ คิดแบบ Yuanta
07/09/60,ทันหุ้น,'PLAT'ไฮซีซันดันQ3แจ๋วพื้นฐานแกร่งอนาคต8.5บ.
28/08/60,ทันหุ้น,คอลัมน์ เคาะไป คุยไป
24/08/60,ทันหุ้น,PLATอัดฉีด4.2พันล้านสร้างตึกใหม่อัพเป้าโต
17/08/60,ทันหุ้น,'PLAT'ผลงานทั้งปีนิวไฮยอดพักอื้อ-จ่อขึ้นค่าเช่า
15/06/60,ทันหุ้น,PLATพื้นฐานแกร่งกำไรทะยานต่อเนื่องเชียร์สอยเป้า8.50บ.
25/05/60,ทันหุ้น,PLAT ธุรกิจโรงแรมเด่น ไตรมาส 2 เติบโตแข็งแกร่ง
22/05/60,ทันหุ้น,PLAT เปรย Q2 ผลงานสดใส ใส่เกียร์ลุยเดอะมาร์เก็ต
02/05/60,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
18/04/60,ทันหุ้น,PLAT โค้งแรกฟอร์มแจ๋ว ปันผลเด่น-อนาคตไกล
21/03/60,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
21/03/60,ทันหุ้น,40 หลักทรัพย์ที่มีมูลค่าการซื้อ-ขายสูงสุด
16/03/60,ทันหุ้น,'PLAT' ดีลพันธมิตร 'AEC' ย้ำชัดผลงานพุ่ง 2 พันล้าน
10/03/60,ทันหุ้น,PLATครึ่งแรกฟอร์มแจ่ม ค่าเช่าใหม่-'นีออน'หนุน
08/03/60,ทันหุ้น,จัดสมการ4อรหันต์AMA-ETE-HARN-UACขึ้นแท่นหุ้นแกร่งทำกำไร
21/02/60,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
20/02/60,ทันหุ้น,'PLAT'เริ่ดกำไรนิวไฮประกาศเอาใจผู้ถือหุ้นบอร์ดจ่าย...
11/01/60,ทันหุ้น,PLAT ปีนี้รายได้แตะ 2 พันล. เก็บเกี่ยวยอดเช่าตลาดนีออน
23/11/59,ทันหุ้น,PLAT ปี 60 รายได้ 2 พันล้าน ชงบอร์ดแจกปันผลผู้ถือหุ้น
21/11/59,ทันหุ้น,คอลัมน์ STOCK OF THE TOWN
21/11/59,ทันหุ้น,คอลัมน์ เคาะไปคุยไป
17/11/59,ทันหุ้น,PLATชู9เดือนกำไร523ล. ลั่นทั้งปีผลงานโตตามเป้า
17/10/59,ทันหุ้น,PLAT ไฮซีซันดัน Q4 แจ่ม ชูพื้นฐานแกร่ง-อนาคตไกล
21/09/59,ทันหุ้น,PLAT ทุ่มงบกว่า 80 ล. ผุดตลาดนัดกลางคืน ส่งผลงานปลายปีพุ่ง
19/09/59,ทันหุ้น,คอลัมน์ เคาะไปคุยไป
08/09/59,ทันหุ้น,PLATการันตีผลงานลุ้นกำไรทำสถิติใหม่เดินหน้าแผนการลงทุน
26/08/59,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
18/08/59,ทันหุ้น,PLAT จ่ออัพค่าเช่า ธุรกิจโรงแรมเฟื่อง มีลุ้นผลงานนิวไฮ
18/08/59,ทันหุ้น,คอลัมน์ เคาะไปคุยไป
02/08/59,ทันหุ้น,PLAT เนรมิตสกายไลน์ เชื่อมรถไฟฟ้าเข้าห้าง เสริมแกร่งดัน...
29/06/59,ทันหุ้น,'PTG' โรดโชว์นักลงทุนหาดใหญ่กระชับความเชื่อมั่น-การันตี...
16/06/59,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
15/06/59,ทันหุ้น,คอลัมน์ บาดตาเซียน: RML - ไม่กล้า อาจยิ่งไกล
14/06/59,ทันหุ้น,คอลัมน์ บาดตาเซียน: PLAT - ต้องขอซ้ำอีกวัน
14/06/59,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
14/06/59,ทันหุ้น,จับตาหุ้นเข้าSET50/100คิงเพาเวอร์กินรวบAAV39%
13/06/59,ทันหุ้น,คอลัมน์ บาดตาเซียน: PLAT - สูงนะ แต่ก็น่าเก็งกำไร
13/06/59,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
10/06/59,ทันหุ้น,PLATโค้งสองฟอร์มแจ๋วยิ้มรับกองทุนขอข้อมูลอื้อ
10/06/59,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
03/06/59,ทันหุ้น,PLATเนื้อหอมฟุ้งกองทุนสิงคโปร์จ้องผลงานทะลุ1.76พันล.
23/05/59,ทันหุ้น,"คอลัมน์ เจาะเทคนิคหุ้นเด่น: เพราะ""ลงแรง"" ... จึงมีโอกาส..."
03/05/59,ทันหุ้น,PLATผุดไอเดียจับคู่ธุรกิจดันศูนย์ค้าส่งแฟชั่นAEC
21/04/59,ทันหุ้น,PLATควักงบหมื่นล้านสยายปีกธุรกิจเต็มสูบ
08/04/59,ทันหุ้น,"หุ้นไทยเดือนเม.ย.ชุ่มฉ่ำส่องดัชนีทดสอบ1,450จุด"
01/04/59,ทันหุ้น,คอลัมน์ เคาะไป คุยไป
24/03/59,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
07/03/59,ทันหุ้น,คอลัมน์ TECHNICAL EXPRESS: ...คาดลงมาปิด Rising Gap ที่...
04/03/59,ทันหุ้น,คอลัมน์ เคาะไปคุยไป
26/02/59,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
25/02/59,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
23/02/59,ทันหุ้น,'PLAT'กำไรนิวไฮอัพยอดปี59พุ่ง2หลักผุดศูนย์การค้าใหม่
20/01/59,ทันหุ้น,คอลัมน์ เคาะไปคุยไป
16/12/58,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
04/12/58,ทันหุ้น,คอลัมน์ รู้ทันการลงทุน บล.บัวหลวง: PLAT อนาคตสดใส เป้าหมาย...
27/11/58,ทันหุ้น,PLATปักธงกำไรเด้งแรงรับทรัพย์ขยับค่าเช่าพื้นที่
19/11/58,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
17/11/58,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
17/11/58,ทันหุ้น,คอลัมน์ เคาะไป คุยไป
16/11/58,ทันหุ้น,กางพอร์ตดัชนีMSCI TIPCO-VNGโดดเด่น
16/11/58,ทันหุ้น,PLATโกยยอดพันล.ไฮซีซันหนุนรายได้
05/10/58,ทันหุ้น,คอลัมน์ เคาะไป คุยไป
20/08/58,ทันหุ้น,PLATผลงานเลิศหรูเนรมิตโรงแรมใหม่เสริมพอร์ตรับทรัพย์
10/06/58,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
10/06/58,ทันหุ้น,คอลัมน์ บาดตาเซียน: PLAT-ไม่เจ็บ เท่ากับจอง
10/06/58,ทันหุ้น,PLATผลงานQ2/58เลอค่าเดินหน้าสร้างโรงแรมสมุย
15/05/58,ทันหุ้น,คอลัมน์ เวทีวิเคราะห์
13/05/58,ทันหุ้น,PLATกำไรโค้งแรกทะลุ50%กูรูเชียร์หุ้นชั้นดีอัพไซด์สูง
07/05/58,ทันหุ้น,PLATรายได้Q1แรงทะลุ50%เดินเกมโรดโชว์สถาบันใน-นอก
16/04/58,ทันหุ้น,ภาพข่าว: คอลัมน์ ทำเนียบทันหุ้น: แถลง
31/03/58,ทันหุ้น,คอลัมน์ เวทีวิเคราะห์
25/03/58,ทันหุ้น,ภาพข่าว: ยินดี
25/03/58,ทันหุ้น,PLATพื้นฐานแข็งแกร่งงบโตกระโดด-เป้า8บาท
24/03/58,ทันหุ้น,PLATมั่นใจเทรดเหนือจองเอาใจผถห.ปันผล0.062บาท
20/03/56,ทันหุ้น,คอลัมน์ รู้ทันการลงทุน: AS กำไรโต-พื้นฐาน 21 บาท
15/11/55,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
20/03/50,ทันหุ้น,บทวิเคราะห์เทคนิคยางแผ่นรมควันชั้น3(RSS3)
