Date,Symbol,Source,HeadLine
10/09/63,PLE,ทันหุ้น,บริษัท เพาเวอร์ไลน์ เอ็นจิเนียริ่ง จำกัด (มหาชน): ประกาศ...
20/08/63,PLE,ทันหุ้น,10 หลักทรัพย์ที่มีราคาลดลงต่ำสุด: ณ วันพุธที่ 19 สิงหาคม...
19/08/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน สิงหาคม
18/08/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน สิงหาคม
17/08/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน สิงหาคม
14/08/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน สิงหาคม
13/08/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน สิงหาคม
11/08/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน สิงหาคม
10/08/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน สิงหาคม
31/07/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน ก.ค-ส.ค.
30/07/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน ก.ค-ส.ค.
29/07/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน ก.ค-ส.ค.
24/07/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน ก.ค-ส.ค.
22/07/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน ก.ค-ส.ค.
21/07/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน ก.ค-ส.ค.
17/07/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน 17 ก.ค-27 ส.ค. 63
16/07/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน ก.ค.-ส.ค.
07/07/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน ก.ค.-ส.ค.
03/07/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน ก.ค.-ส.ค.
03/07/63,PLE,ทันหุ้น,'PLE'โดดคว้างานมูลค่าเฉียด3พันล.เติมBacklogในมือ
12/06/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน มิถุนายน
11/06/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน มิถุนายน
10/06/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน มิถุนายน
09/06/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน มิถุนายน
08/06/63,PLE,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน มิถุนายน
19/05/63,PLE,ทันหุ้น,10 หลักทรัพย์ที่มีราคาลดลงต่ำสุด: ณ วันจันทร์ที่ 18 พฤษภาคม...
27/04/63,PLE,ทันหุ้น,PLEสนลงทุนธุรกิจไฟฟ้าชูเป้าคว้างานกว่าหมื่นล.
25/03/63,PLE,ทันหุ้น,'ดิเรก วินิชบุตร' ทุ่ม 498 ลบ. เก็บหุ้น ROJNA
20/12/62,PLE,ทันหุ้น,PLEได้งานก่อสร้างโครงการสำนักงานมูลค่า990ล้านบาท
19/08/62,PLE,ทันหุ้น,'ศึกษิต เพชรอำไพ' ซื้อหุ้น MTC กว่า 32 ลบ.
16/08/62,PLE,ทันหุ้น,'สมศักดิ์ อธิศัยตระกูล'ขายหุ้น JMT 5 แสนหุ้น
26/06/62,PLE,ทันหุ้น,PLEโดดชิงงานใหม่2หมื่นล้าน แบ็กล็อกแน่นดันผลงานแกร่ง
02/01/62,PLE,ทันหุ้น,รับเหมาถึงเวลาตีปีกSTEC-STPIเด่นเข้าตา
25/12/61,PLE,ทันหุ้น,PLEมีลุ้นคว้างาน5พันล.แบ็กล็อกหนา1.4หมื่นล.
13/11/61,PLE,ทันหุ้น,คอลัมน์ TECHNICAL INSIGHT
02/11/61,PLE,ทันหุ้น,สกู๊ปพิเศษ: บทพิสูจน์PLEหุ้นดังจะกลับมา?
17/10/61,PLE,ทันหุ้น,คอลัมน์ TECHNICAL INSIGHT
25/09/61,PLE,ทันหุ้น,คอลัมน์ บาดตาเซียน: PLE - แม้จะเล่นยาก แต่ก็อยากดู
13/09/61,PLE,ทันหุ้น,คอลัมน์ Fast Trade by แอพเพิลเวลธ์
23/08/61,PLE,ทันหุ้น,NCLครึ่งหลังดันงบไปต่อเปิดกรุรับทรัพย์ลงทุนนอก
16/08/61,PLE,ทันหุ้น,PLEงานรอชิง2หมื่นล.เล็งรายได้ปีนี้8พันล้าน
09/07/61,PLE,ทันหุ้น,NCLดันรายได้ต่างแดนพุ่ง50%งบเดี่ยวเป็นบวก-ผลงานโตต่อ
22/06/61,PLE,ทันหุ้น,PLEประมูลงาน5หมื่นล.ตั้งเป้ารายได้ปีนี้โต20%
23/05/61,PLE,ทันหุ้น,'ILINK'ยุคทองปีนี้นิวไฮดีลซับพลายอัพมาร์จิ้นพุ่ง
17/05/61,PLE,ทันหุ้น,POWER LINE ENGINEERING PUBLIC COMPANY LIMITED: ประกาศ เรื่อง...
15/05/61,PLE,ทันหุ้น,คอลัมน์ บาดตาเซียน: PLE-เรื่องน่าเศร้า ชาวหุ้นเล็ก (บางตัว)
02/05/61,PLE,ทันหุ้น,Winner Group Enterprise Ple.: ประกาศจ่ายปันผล
25/04/61,PLE,ทันหุ้น,'NCL'ได้ฤกษ์ลุยขนส่งอเมริกายันธุรกิจไปได้สวย-งบวิ่งแรง
15/02/61,PLE,ทันหุ้น,คอลัมน์ Fast Trade By แอพเพิลเวลธ์
01/11/60,PLE,ทันหุ้น,คอลัมน์ STOCK OF THE TOWN: ฮาโลวีนผีหลอกหุ้นไทยทำอารมณ์ค้าง
04/10/60,PLE,ทันหุ้น,คอลัมน์ STOCK OF THE TOWN
11/09/60,PLE,ทันหุ้น,PLEอนาคตเฉิดฉายบุ๊กขายหุ้นบำรุงเมืองหนุนเป้าหมาย2.02บ.
04/09/60,PLE,ทันหุ้น,คอลัมน์ บาดตาเซียน: COM7-ควรต้องมีสักวัน ที่แรงๆ
01/09/60,PLE,ทันหุ้น,คอลัมน์ บาดตาเซียน: BEAUTY-แบบนี้ เหมือนรอ (?)
31/08/60,PLE,ทันหุ้น,คอลัมน์ บาดตาเซียน: HARN-สลับกลับมาหุ้นเล็ก
30/08/60,PLE,ทันหุ้น,STEC-UNIQมีแววเด่นงานในมือรับรู้ยาว3ปี
