Date,Source,HeadLine
28/10/62,ทันหุ้น,คอลัมน์ มองอย่างเซียน: หุ้นสินค้าโภคภัณฑ์ไม่ใช่หุ้นพื้นฐาน
09/04/58,ทันหุ้น,คอลัมน์ GloblexSecurities: Stock of the town @ Kusjung
14/01/58,ทันหุ้น,คอลัมน์ เวทีวิเคราะห์
25/02/54,ทันหุ้น,'PTT'จ่อเทรดบริษัทใหม่ส.ค. โบรกชี้ควบรวมแลกหุ้น1ต่อ4
11/02/54,ทันหุ้น,PTTCHเด่นจับคู่ควบPTTAR Q4/53โชว์กำไร2.7พันล้าน
01/02/54,ทันหุ้น,CIMB SECURITIES: หุ้นพลังงาน..ยังมีข่าวหนุน
07/04/53,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
02/03/53,ทันหุ้น,คอลัมน์ Investment Society: PTTAR: ผลดำเนินงาน Q1 โดดเด่น
15/07/52,ทันหุ้น,'PTTAR'ดาวเด่นกลุ่มโรงกลั่น
11/06/52,ทันหุ้น,"ผ่าหุ้น""PTTAR"" เล็งราคา 25.50 บาท"
30/04/52,ทันหุ้น,คอลัมน์ เวทีวิเคราะห์
28/04/52,ทันหุ้น,คอลัมน์ เคาะซื้อ: หวัดหมูไม่กลัว...แต่กลัวขายหมู?
10/04/52,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
26/01/52,ทันหุ้น,ภาพข่าว: คอลัมน์ ทำเนียบทันหุ้น: ลงนาม
15/08/51,ทันหุ้น,คอลัมน์ เคาะซื้อ: 108 เหตุผลในการซื้อหุ้น
07/08/51,ทันหุ้น,คอลัมน์ คู่หูคู่หุ้น: เก็งกำไร PTT
07/08/51,ทันหุ้น,PTTAR ได้ดีน้ำมันขาลง ครึ่งหลังผลิตเพิ่มเท่าตัว
12/05/51,ทันหุ้น,"คัดตัวครอบครัว""PTT"""
20/02/51,ทันหุ้น,คอลัมน์ นายเรียนรู้: PTTAR
20/02/51,ทันหุ้น,คอลัมน์ คุยกันหลังกระดาน
20/02/51,ทันหุ้น,คอลัมน์ คู่หูคู่หุ้น: PTTAR ซื้อเก็งกำไร
07/02/51,ทันหุ้น,เปิดเป้ารายได้บจ.ปีนี้ขอโตแค่ 10-12%
04/02/51,ทันหุ้น,คอลัมน์ เวทีวิเคราะห์
29/01/51,ทันหุ้น,กระซิบหน้าจอ
17/01/51,ทันหุ้น,หุ้นร้อนแชมป์ดาวร่วง ครึ่งเดือนม.ค.ดิ่งยกแผง
07/01/51,ทันหุ้น,PTTAR ได้อันดับหุ้นกู้ A+ ปี 52 กำลังผลิตเพิ่มรายได้ทะลัก
07/01/51,ทันหุ้น,สัปดาห์แรกฝรั่งขาย 6 พันล. กดหุ้นดิ่ง 4%
04/01/51,ทันหุ้น,จับตาดอลลาร์อ่อน-น้ำมันแพง โบรกแนะเล่นสั้นเปิด 'SHORT'
03/01/51,ทันหุ้น,กระซิบหน้าจอ
03/01/51,ทันหุ้น,คู่หูคู่หุ้น: PTTAR ซื้อเก็งกำไร
03/01/51,ทันหุ้น,เวทีวิเคราะห์
03/01/51,ทันหุ้น,เคาะซื้อ นายไก่ทอง : อาลัยสมเด็จพระพี่นาง
03/01/51,ทันหุ้น,'PTTAR' หุ้นเกรดเอ ปี 50 กำไรโต20% ลุ้นปันผล2.25บาท
02/01/51,ทันหุ้น,กระซิบหน้าจอ
02/01/51,ทันหุ้น,"เด็กแนว""เล่าหุ้น"""
