Date,Source,HeadLine
10/01/63,ข่าวหุ้น,SCNปลื้มผลการดำเนินงานปี62 อวดธุรกิจทุกกลุ่มเติบโตเข้าเป้า
02/01/63,ข่าวหุ้น,SCNรับทรัพย์310ล้าน ขายสิทธิ์ดีลเลอร์มิตซูบิชิ ลุยขยายธุรกิจ...
25/12/62,ข่าวหุ้น,SCNซื้อหุ้นโรงไฟฟ้ามินบูเพิ่ม10% มูลค่าลงทุน 81 ล้าน ขึ้น...
20/11/62,ข่าวหุ้น,สามเกลอโซลาร์มินบูรอด พม่าเซ็นรับรองCODแล้ว
19/11/62,ข่าวหุ้น,SCN ย้ำเป้ารวม 110 MW
07/11/62,ข่าวหุ้น,SCNอวดงบ9เดือนแรก โกยกำไรสุทธิ 137 ล้าน ฟากรายได้โต 15.40%
04/11/62,ข่าวหุ้น,SCNปิดดีลโซลาร์รูฟท็อปปีนี้10MW เปิดตัวมินิบัสหวังชิงเค้ก 5%...
04/11/62,ข่าวหุ้น,คอลัมน์ สังคมข่าวหุ้น
15/10/62,ข่าวหุ้น,SCNผนึก2พันธมิตรลุยโซลาร์รูฟ ล่าสุดเซ็นซื้อขายไฟเอกชน 8 ราย...
08/10/62,ข่าวหุ้น,SCNหั่นรายได้ปีนี้เหลือโต10% ลุยขยายโซลาร์รูฟท็อป เปิดตัว...
27/09/62,ข่าวหุ้น,ข่าวหุ้นธุรกิจ: 25th ANNIVERSARY ขอบคุณทุกกำลังใจ เราจะก้าว...
25/09/62,ข่าวหุ้น,คอลัมน์ สำนักข่าวรัชดา: ECF ได้(ไม่)คุ้มเสีย.!?
16/09/62,ข่าวหุ้น,บริษัทจดทะเบียน (SET) ที่มีกำไรสุทธิเปลี่ยนแปลงสูงในครึ่งแรก...
13/09/62,ข่าวหุ้น,SCNส่งซิกผลงานไตรมาส4พุ่ง บุ๊กโรงไฟฟ้ามินบูเมียนมา56MW
28/06/62,ข่าวหุ้น,"ECF-SCN-METAครึ่งหลังแจ่ม บุ๊ก ""โรงไฟฟ้ามินบู"" เฟส 1 ขนาด 50..."
18/06/62,ข่าวหุ้น,สมาคมผู้ประกอบการก๊าซNGV เสนอรัฐตรึงราคาขายอยู่ที่50%
14/06/62,ข่าวหุ้น,SCNย้ำรายได้ปีนี้โตตามเป้า30% เตรียมร่วมประมูลรถเมล์ขสมก.อีก...
