Date,Symbol,Source,HeadLine
30/09/63,SCN,ทันหุ้น,SCNรุกธุรกิจก๊าซLNGติดตั้งสถานีในโรงงานขยายฐานลูกค้าเพิ่ม
25/09/63,SCN,ทันหุ้น,SCNตั้งบริษัทย่อยต่อยอดธุรกิจแกร่งพลังงานหมุนเวียน
26/08/63,SCN,ทันหุ้น,SCNฟุ้งQ3/2563ฟอร์มแจ่มเริ่มสร้างมินบูเฟส2เดือนนี้
20/07/63,SCN,ทันหุ้น,'SCN'ลุยมินบูเฟส2ปลายก.ค.ปลดล็อกเมืองดีมานด์ก๊าซพุ่ง
08/06/63,SCN,ทันหุ้น,SCNคาดครึ่งปีหลังฟอร์มแจ่มลุยดีลโซลาร์รูฟอัพกำลังผลิต
04/06/63,SCN,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
21/04/63,SCN,ทันหุ้น,SCNปรับเกมสู้โควิด-19เดินเครื่องไฟฟ้ามินบูรุกแผงโซลาร์รูฟ...
07/04/63,SCN,ทันหุ้น,10 หลักทรัพย์ที่มีราคาลดลงต่ำสุด: ณ วันศุกร์ที่ 3 เมษายน...
03/04/63,SCN,ทันหุ้น,คอลัมน์ หุ้นขึ้นเครื่องหมาย ประจำเดือน เมษายน
02/04/63,SCN,ทันหุ้น,SCNรับทรัพย์ขายไฟมินบูเดินหน้าขยายฐานรูฟท็อป
01/04/63,SCN,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน เมษายน
31/03/63,SCN,ทันหุ้น,หุ้นขึ้นเครื่องหมาย ประจำเดือน มี.ค.-เม.ย.
27/02/63,SCN,ทันหุ้น,'SCN'อัดฉีด600ลบ.เดินหน้ามินบูเฟส2ย้ำชัดไร้แผนเพิ่มทุน
18/02/63,SCN,ทันหุ้น,'SCN'งบปี62ปั๊มกำไรเพิ่ม ขายไฟหนุน-ปันผล0.10บ.
31/01/63,SCN,ทันหุ้น,'SCN'เซ็นรูฟท็อปเอกชน6MW ทุ่ม1.2พันล้านอัพไฟฟ้า-ขนส่ง
16/01/63,SCN,ทันหุ้น,SCNรุกหนักอัพฐานไฟฟ้าดันธุรกิจโต-ขายกิจการรถ
10/01/63,SCN,ทันหุ้น,SCNธุรกิจขยายบุ๊กมินบู50MWลุยโซลาร์รูฟ-ประมูลรถปั๊มยอด
02/01/63,SCN,ทันหุ้น,SCNขายกรรมสิทธิ์มิตซูรับทรัพย์กว่า310ล้านบ.ลุยขยายธุรกิจ...
02/01/63,SCN,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
27/12/62,SCN,ทันหุ้น,10 หลักทรัพย์ที่มีราคาเพิ่มขึ้นสูงสุด: ณ วันพฤหัสบดีที่ 26...
27/12/62,SCN,ทันหุ้น,ภาพข่าว: คอลัมน์ สังคมธุรกิจทันหุ้น: ลงนาม
25/12/62,SCN,ทันหุ้น,'SCN'ขึ้นแท่นผู้ถือหุ้นใหญ่ ควัก81ล้านลงทุนมินบูเพิ่ม
23/12/62,SCN,ทันหุ้น,'SCN'บุ๊กมินบูหนุนQ4เจ๋งอัพฐานมินิบัสโกยเงินเพิ่ม
09/12/62,SCN,ทันหุ้น,10 หลักทรัพย์ที่มีราคาลดลงต่ำสุด: ณ วันศุกร์ที่ 6 ธันวาคม...
28/11/62,SCN,ทันหุ้น,10 หลักทรัพย์ที่มีราคาลดลงต่ำสุด: ณ วันพุธที่ 27 พฤศจิกายน...
20/11/62,SCN,ทันหุ้น,SCN-ECF-METAรับเงิน400ล้านเมียนมาเซ็นสัญญาโรงไฟฟ้ามินบู
05/11/62,SCN,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
04/11/62,SCN,ทันหุ้น,SCNส่งมินิบัสกระตุ้นรายได้คาดยอดขาย220ล้านบ.ต่อปี
15/10/62,SCN,ทันหุ้น,SCNผนึกกำลังพันธมิตรบุกโซลาร์รูฟท็อปเต็มสูบ
08/10/62,SCN,ทันหุ้น,SCNผนึกคู่ขาลุยโซลาร์รูฟ ปั๊มยอดPPA110เมกะวัตต์
03/10/62,SCN,ทันหุ้น,'SCN'จ่อรับรู้โรงไฟฟ้ามินบูทุ่ม100ล้านถือหุ้นเพิ่ม10%
03/10/62,SCN,ทันหุ้น,คอลัมน์ Teerasak Trendtalk: SCN
13/09/62,SCN,ทันหุ้น,'SCN'เล็งผุดโซลาร์รูฟท็อปขายไฟมินบูชัดสัปดาห์หน้า
10/09/62,SCN,ทันหุ้น,'CHO'ยื่นฟ้องขสมก.เลิกระบบE-Ticketเรียกชดใช้1.55พันล.
30/08/62,SCN,ทันหุ้น,CHOพร้อมลุยนิวโปรเจ็กต์กอดงานในมือ1.82พันล้าน
14/08/62,SCN,ทันหุ้น,SCNชูกลุ่มธุรกิจดันงบครึ่งปีแรกรายได้1.69พันล.
