Date,Symbol,Source,HeadLine
31/01/63,SPALI,ทันหุ้น,คอลัมน์ Teerasak Trendtalk: SPALI
31/01/63,SPALI,ทันหุ้น,SPALIบอร์ดไฟเขียวจัด2พันล้านซื้อหุ้นคืนโบรกชี้พิกัดเป้า20บ.
31/01/63,SPALI,ทันหุ้น,ยักษ์บจ.แห่ซื้อหุ้นคืนKBANKปันผลค้ำราคา
29/01/63,SPALI,ทันหุ้น,SPALIลุยเปิด30โครงการใหม่โกยยอดขายนิวไฮ2.6หมื่นล.
27/01/63,SPALI,ทันหุ้น,โบรกจัดพอร์ตหุ้นเด่นยิลด์สูงชูPSH-QH-LH
27/01/63,SPALI,ทันหุ้น,ธอส.อุ้มอสังหา3โปรเจ็กต์รวดเอกชนเชื่อกำลังซื้อเพิ่ม15%
14/01/63,SPALI,ทันหุ้น,คอลัมน์ TECHNICAL EXPRESS: กลับมาเกิดความแข็งแกร่งในระยะสั้น...
07/01/63,SPALI,ทันหุ้น,'SPALI'บุกแนวราบเต็มสูบประเดิมโครงการใหม่522ล.
03/01/63,SPALI,ทันหุ้น,20 หลักทรัพย์ที่มีมูลค่าการซื้อ-ขายสูงสุด
02/01/63,SPALI,ทันหุ้น,เปิดกลยุทธ์อสังหาริมทรัพย์SPALI-ANAN-ORI-ALLฮึดสู้
02/01/63,SPALI,ทันหุ้น,คุณา เทวอักษร และครอบครัว ทยอยเก็บ KUN 44 ล้านหุ้น
30/12/62,SPALI,ทันหุ้น,วางหมากหุ้นไทย2563สถิติชี้ม.ค.หุ้นทะยาน
26/12/62,SPALI,ทันหุ้น,คอลัมน์ Teerasak Trendtalk: SPALI
26/12/62,SPALI,ทันหุ้น,KTBSTจัดทัพขยายธุรกิจแกร่งชูเป้าสถาบันการเงินครบวงจร
25/12/62,SPALI,ทันหุ้น,'รัตน์ ด่านกุล' ควัก 1.23 ลบ. ซื้อ RBF
25/12/62,SPALI,ทันหุ้น,ผ่อนเกณฑ์LTVกลางปี63SPALIรับเต็ม-ปันผลสูง
23/12/62,SPALI,ทันหุ้น,'ณรงค์' ขาย VCOM รับทรัพย์ 15.84 ล.
23/12/62,SPALI,ทันหุ้น,SPALIปรับกลยุทธ์รุกแนวราบลุยเปิด30โครงการ3.5หมื่นล.
16/12/62,SPALI,ทันหุ้น,ภาพข่าว: คอลัมน์ สังคมธุรกิจทันหุ้น: จับมือ
13/12/62,SPALI,ทันหุ้น,ฐิติ สิหนาทกถากุล โกยหุ้นTNHเข้าพอร์ตจ่ายเงินไป32.01ล้าน
09/12/62,SPALI,ทันหุ้น,ดีเดย์'บ้านดีมีดาวน์'พุธนี้ANAN-SENAมีโปร
06/12/62,SPALI,ทันหุ้น,'ภาณุ ศีติสาร' ควักเงินซื้อ PSTC จำนวน 9 ล้านหุ้น
06/12/62,SPALI,ทันหุ้น,คัดหุ้นปันผลสู้ตลาดหมีLH-KKPยิลด์พุ่งทะลุ7%
02/12/62,SPALI,ทันหุ้น,คอลัมน์ KSecurities KS (W)hole in ONE: คาดผันผวนลดลง ผล...
28/11/62,SPALI,ทันหุ้น,สุเทพี อัศวะธนกุล เทรดหุ้นตัวเอง 7.7 ล้านหุ้น
27/11/62,SPALI,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
27/11/62,SPALI,ทันหุ้น,"คอลัมน์ TECHNICAL EXPRESS: ปิดเหนือ 1,605 จุด ลุ้นการปิด..."
27/11/62,SPALI,ทันหุ้น,ทอนดาวน์กระตุ้นอสังหาSPALI-ORIยอดขายเด้ง
26/11/62,SPALI,ทันหุ้น,'สุรินทร์ ประสิทธิ์หิรัญ' ซื้อหุ้น RJH
26/11/62,SPALI,ทันหุ้น,ต่างชาติดักSPRC-SPALIถล่มหนักPTT-PTTEP
25/11/62,SPALI,ทันหุ้น,อัจฉรา ตั้งมติธรรม ควักเงิน 7.46 ลบ. เก็บหุ้น SPALI
20/11/62,SPALI,ทันหุ้น,วิบูลย์ วัชรสุรังค์ ขายหุ้น RCI โกยเงินเข้าพอร์ต 138.72ล.
18/11/62,SPALI,ทันหุ้น,กำไรบจ.Q3ลด18% เจาะ12หุ้นแกร่งสู้ได้
13/11/62,SPALI,ทันหุ้น,SPALIดีด66%จากQก่อนรายได้แกร่งสวนกฎLTV
11/11/62,SPALI,ทันหุ้น,โปรเด็ดเร่งโอนเริ่มวันนี้SPALI-LH-PSHรับเต็ม
07/11/62,SPALI,ทันหุ้น,คลังกระทุ้งอสังหาสุดลิ่มเล็งLH-PSH-SPALIเข้าวิน
06/11/62,SPALI,ทันหุ้น,SPALI เด่นกลุ่มอสังหา เจาะราคา 25.25 บาท
06/11/62,SPALI,ทันหุ้น,คอลัมน์ TECHNICAL INSIGHT
05/11/62,SPALI,ทันหุ้น,ลดโอนฟื้นอสังหาได้มติเอกฉันท์ชูSPALI
31/10/62,SPALI,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
31/10/62,SPALI,ทันหุ้น,SPALIเจาะกลยุทธ์มาร์จิ้นสูงหนุนกำไรไตรมาส3ต่อเนื่อง
24/10/62,SPALI,ทันหุ้น,เปิดโผบจ.กำไรQ3โตแกร่งแนะเลือกสอยหุ้นLaggard
22/10/62,SPALI,ทันหุ้น,บ้าน3ล้านได้ลดค่าโอนจัดโผหุ้นอสังหารับตรง
16/10/62,SPALI,ทันหุ้น,ยังไม่ไว้ใจเทรดวอร์แนะเข้าหุ้นปันผลดี
10/10/62,SPALI,ทันหุ้น,SPALIโกยยอดขาย9เดือนเติมแบ็กล็อก1.85หมื่นล้าน
09/10/62,SPALI,ทันหุ้น,โค้งท้ายอสังหาถล่มโปรฟรีจอง-ฟรีโอน-คืนเงินอื้อ
08/10/62,SPALI,ทันหุ้น,'ณิชกานต์ ชาญธนสิริกุล' ซื้อหุ้น UREKA
08/10/62,SPALI,ทันหุ้น,ครม.เคาะงบปี63ส่งสภาดึงเชื่อมั่น-จ่ออัดยาแรง
07/10/62,SPALI,ทันหุ้น,โผหุ้นดักกำไรQ3กระโดดADVANC-CPALL-SPALIแรง
07/10/62,SPALI,ทันหุ้น,คอลัมน์ KSecurities KS (W)hole in ONE: เดือนแห่งความผันผวน
04/10/62,SPALI,ทันหุ้น,หุ้นไทยฟื้นไตรมาส4เชื่อมั่นขยับลุ้นเรตติ้ง
04/10/62,SPALI,ทันหุ้น,'สุเมธ สิมะกุลธร'ซื้อหุ้น KKC 40.18 ล้านบาท
02/10/62,SPALI,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
01/10/62,SPALI,ทันหุ้น,'ปิยะนันท์ สุวรรณนภาศรี' ปาดหุ้น UKEM ออก
26/09/62,SPALI,ทันหุ้น,'พระนาย กังวาลรัตน์' กวาดซื้อหุ้น PSTC
25/09/62,SPALI,ทันหุ้น,'ทอมมี่ เตชะอุบล' ทุ่ม 274.76 ลบ. ซื้อ CGH
25/09/62,SPALI,ทันหุ้น,SPALIลุย7โครงการQ4ครึ่งหลังโอน1.1หมื่นล.
24/09/62,SPALI,ทันหุ้น,'อัจฉรา' เก็บ SPALI เพิ่ม 23.99 ล.หุ้น
16/09/62,SPALI,ทันหุ้น,อสังหาแห่พบขุนคลัง25ก.ย.จับตาออกมาตรการกระตุ้น
11/09/62,SPALI,ทันหุ้น,"SPALIเปิดบ้านหรูมูลค่า1,200ล้านบ.บุกโซนตะวันออก"
05/09/62,SPALI,ทันหุ้น,โบรกคัดหุ้นเด่นเดือนกันยายนชูPTG-SEAFCO-SPALI-ASK
05/09/62,SPALI,ทันหุ้น,อสังหาพุ่งจุดต่ำปันผลสูงSPALIผลงานQ3เด้ง
27/08/62,SPALI,ทันหุ้น,โบรกส่องหุ้นอสังหาAP-SPALIแข็งแกร่งเหนือปัจจัยกดดัน
23/08/62,SPALI,ทันหุ้น,คอลัมน์ มองอย่างเซียน: หุ้นได้ประโยชน์มาตรการกระตุ้นเศรษฐกิจ...
23/08/62,SPALI,ทันหุ้น,อสังหาพ้นจุดต่ำสุดแล้วANAN-PSHปรับเกมสู้
19/08/62,SPALI,ทันหุ้น,คอลัมน์ KSecurities KS (W)hole in ONE: ในวิกฤติมีโอกาส
19/08/62,SPALI,ทันหุ้น,3หุ้นอสังหาชนะกฎLTV ALL-MK-SAMCOโตสวน
19/08/62,SPALI,ทันหุ้น,'SPALI'ติดเครื่องลุย21โปรเจ็กต์แบ็กล็อกแน่นดันยอดขายเข้าเป้า
16/08/62,SPALI,ทันหุ้น,คอลัมน์ CLASSIC AUSIRIS: อสังหาเล่นฝั่งไหนใน Single Stock...
16/08/62,SPALI,ทันหุ้น,SPALIจ่อโอน7.6พันล. ดันไตรมาสQ3โดดเด่น
08/08/62,SPALI,ทันหุ้น,เซอร์ไพรส์ลดดบ.0.25%อสังหา-ไฟแนนซ์รับโชค
01/08/62,SPALI,ทันหุ้น,SPALIรุกแนวราบผุด2โครงการใหม่มูลค่า2พันล้านบาท
23/07/62,SPALI,ทันหุ้น,สัมภาษณ์พิเศษ: ไขรหัสธุรกิจ ILM
22/07/62,SPALI,ทันหุ้น,ลุ้นบจ.Q2กำไร1.94แสนล. สะสมหุ้นปันผลรับทรัพย์
19/07/62,SPALI,ทันหุ้น,AP-PSH-SPALIยอดขายพุ่ง LH-LPNแววกำไรQ2โตแรง
03/07/62,SPALI,ทันหุ้น,SPALIครึ่งหลังโอน1.2หมื่นล.ลุย22โครงการอัพยอดขาย
01/07/62,SPALI,ทันหุ้น,คอลัมน์ TECHNICAL EXPRESS: คาดหวังการปิด Falling Gap ที่...
28/06/62,SPALI,ทันหุ้น,คอลัมน์ เคาะไปคุยไป
21/06/62,SPALI,ทันหุ้น,'SPALI'สอยทำกำไรเป้าราคา25.25บาท
21/06/62,SPALI,ทันหุ้น,SPALIเปิด22โครงการโกยยอดขายครึ่งปีหลัง
17/06/62,SPALI,ทันหุ้น,คอลัมน์ KSecurities KS (W)hole in ONE: แกว่งพักตัวรอปัจจัย...
12/06/62,SPALI,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
10/06/62,SPALI,ทันหุ้น,คอลัมน์ KSecurities KS (W)hole in ONE: แกว่งพักตัว
10/06/62,SPALI,ทันหุ้น,คัดหุ้นเด่นรับรัฐบาลใหม่'JKN-SPA'ติดโผน่าลงทุน
06/06/62,SPALI,ทันหุ้น,คอลัมน์ TECHNICAL INSIGHT
31/05/62,SPALI,ทันหุ้น,สัมภาษณ์พิเศษ: ความภาคภูมิใจตลอด30ปี วันนี้ที่มั่นคง...
28/05/62,SPALI,ทันหุ้น,SPALIวางหมากเจาะทำเลทองอัพฐานแนวราบ
22/05/62,SPALI,ทันหุ้น,"จีดีพีโค้งแรกกร่อยเหลือ2.8%คงเป้าดัชนี1,750จุดเก็บหุ้นดี"
15/05/62,SPALI,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
15/05/62,SPALI,ทันหุ้น,ANANร่วมทุนดันกำไรโต60%SPALIโค้งแรกซด1.5พันล้าน
10/05/62,SPALI,ทันหุ้น,SPALIเปิดแนวราบมูลค่า530ล้านบาทหวังโกยยอดขายQ2
09/05/62,SPALI,ทันหุ้น,SPALIยอดขายQ2เด้งรุกขยายตจว.อัพฐาน
02/05/62,SPALI,ทันหุ้น,อสังหาคึกลดภาษี2แสนโผหุ้นรับอานิสงส์ยอดฟื้น
30/04/62,SPALI,ทันหุ้น,กลุ่มอสังหากำไรโค้งแรกฟื้น เลือก'LPN-AP'โดดเด่นสุด
29/04/62,SPALI,ทันหุ้น,คอลัมน์ Yuanta: SELL IN MAY อาจไม่เกิดกับหุ้นไทย
29/04/62,SPALI,ทันหุ้น,SPALIแย้มผลงานQ2เด่นยอดขายครึ่งปี1.8หมื่นล้าน
29/04/62,SPALI,ทันหุ้น,จับตาแผนกระตุ้นศก.ชงเข้าครม.สัปดาห์นี้
18/04/62,SPALI,ทันหุ้น,สะพัดรัฐเล็งกู้ชีพอสังหาลุ้นฟรีธรรมเนียม-ค่าโอน
17/04/62,SPALI,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
12/04/62,SPALI,ทันหุ้น,ANANเดินแผนโตก้าวกระโดด Q1ยอดขายทะลุเป้า4.8หมื่นล.
10/04/62,SPALI,ทันหุ้น,ความเชื่อมั่นหุ้นไทยลดลง การเมือง-กม.แรงงานกดดัน
29/03/62,SPALI,ทันหุ้น,SPALIโล่งLTVอาจผ่อนคลายเล็งเป้าปลดล็อกผู้ค้ำประกัน
25/03/62,SPALI,ทันหุ้น,ทางสองแพร่งกลุ่มอสังหาSPALI-LH-PSHปลอดภัย
18/03/62,SPALI,ทันหุ้น,LH-QH-SPALI-APดีภาษีที่ดินไร้ผลฉุดกำไรพื้นฐานแกร่ง-เชียร์...
15/03/62,SPALI,ทันหุ้น,โบรกชี้พ.ร.บ.ภาษีที่ดินไม่สะเทือนวงการอสังหา
13/03/62,SPALI,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
07/03/62,SPALI,ทันหุ้น,นับถอยหลังใช้LTVอสังหาจัดทัพรับมือชูLH-SPALLยิลด์สูง
04/03/62,SPALI,ทันหุ้น,คอลัมน์ KSecurities KS(W)hole in ONE: ปัจจัยในประเทศยังอ่อน...
01/03/62,SPALI,ทันหุ้น,SPALIจ่อโอนโครงการประเดิมโค้งแรกแจ่ม
27/02/62,SPALI,ทันหุ้น,'ORI'ขึ้นแท่นท็อปอสังหาอวดกำไร3.3พันล.โต65%
27/02/62,SPALI,ทันหุ้น,ANANอวดผลงานทุบสถิติคอนโดร่วมทุนดันกำไร82%
26/02/62,SPALI,ทันหุ้น,'SPALI'เร่งอัดโปรปั๊มยอดแบ็กล็อก4.4หมื่นล.-แนะซื้อ
18/02/62,SPALI,ทันหุ้น,คอลัมน์ KSecurities KS (W)hole in ONE: SET Indes จะ...
04/02/62,SPALI,ทันหุ้น,คอลัมน์ KSecurities KS (W)hole in ONE: เกาะกระแสเงินทุนไหล...
25/01/62,SPALI,ทันหุ้น,คอลัมน์ CLASSIC AUSIRIS: BLOCK TRADE คืออะไร
24/01/62,SPALI,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
15/01/62,SPALI,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
15/01/62,SPALI,ทันหุ้น,SPALIรายได้ปีนี้นิวไฮเบนเข็มชิงยอดตจว.
21/12/61,SPALI,ทันหุ้น,โผหุ้นปันผลเกิน6%ล้นโอกาสของนักลงทุนVI
18/12/61,SPALI,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
18/12/61,SPALI,ทันหุ้น,SPALIเป้าโอนQ4นิวไฮยอดขายปีนี้เกิน3.3หมื่นล.
26/11/61,SPALI,ทันหุ้น,คอลัมน์ TECHNICAL INSIGHT
23/11/61,SPALI,ทันหุ้น,TAPACลุยอสังหาภูเก็ตพันล.ผนึก'SPALI'เสริมฐานแกร่ง
20/11/61,SPALI,ทันหุ้น,SPALIรุกอีอีซีผุดทาวน์โฮมกระตุ้นแรงซื้อ
16/11/61,SPALI,ทันหุ้น,รับข่าวร้ายเกินเหตุ!ชี้อสังหาQ4แจ่มสุด
15/11/61,SPALI,ทันหุ้น,SPALIปั๊มยอดขาย2.8หมื่นล.เร่งเปิด10โครงการส่งท้ายปี
13/11/61,SPALI,ทันหุ้น,หุ้นยั่งยืนจ่อรับโชคเสนอลดภาษีแทนLTF
12/11/61,SPALI,ทันหุ้น,SPALIปักหมุดเชียงรายเปิดบ้านเดี่ยว'แม่กรณ์'มูลค่า...
12/11/61,SPALI,ทันหุ้น,อสังหาโล่งธปท.ผ่อนกฎคุมสินเชื่อไร้ผลกระทบ
09/11/61,SPALI,ทันหุ้น,จับตาธปท.เลื่อนใช้เกณฑ์LTV QH-LPN-SPALIปลอดภัย
06/11/61,SPALI,ทันหุ้น,คอลัมน์ เคาะไป คุยไป
02/11/61,SPALI,ทันหุ้น,คอลัมน์ เวทีวิเคราะห์
01/11/61,SPALI,ทันหุ้น,'SPALI'ส่งสัญญาณโตแกร่งแบ็กล็อกเพียบกินยาวถึงปี63
22/10/61,SPALI,ทันหุ้น,เจาะงบQ3หุ้นกลุ่มอสังหาANAN-SPALI-QHกำไรเด่น
08/10/61,SPALI,ทันหุ้น,SPALIยอดขายทะลุเป้า ลุยผุดแนวราบ8โครงการ
08/10/61,SPALI,ทันหุ้น,คอลัมน์ คิดแบบ Yuanta
05/10/61,SPALI,ทันหุ้น,คอลัมน์ เคาะไป คุยไป
04/10/61,SPALI,ทันหุ้น,'SIRI'อัพยอดขาย5หมื่นล. เล็งเปิด7โครงการส่งท้ายปี
03/10/61,SPALI,ทันหุ้น,แบงก์จ่อคุมเข้มปล่อยกู้กรองหุ้นอสังหาหลบภัย
02/10/61,SPALI,ทันหุ้น,SPALIปลื้มกระแสแรงพรีเซลเวอเรนด้าแน่นโกยยอดขาย3.7พันล.
01/10/61,SPALI,ทันหุ้น,คอลัมน์ KSecurities KS (W)hole in ONE: ของดี...ไม่ถูก ไม่แพง
28/09/61,SPALI,ทันหุ้น,คอลัมน์ เวทีวิเคราะห์
26/09/61,SPALI,ทันหุ้น,"KSเล็งอัพเป้าดัชนีจากเดิม1,805จุดชี้การเลือกตั้งหนุน"
25/09/61,SPALI,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
25/09/61,SPALI,ทันหุ้น,ชูLPN-SPALIน่าสะสมหุ้นพื้นฐานดี-ปันผลสูง
21/09/61,SPALI,ทันหุ้น,SPALIเปิดแนวราบมูลค่า1.4พันล้าน พรีเซลเดือนก.ย.นี้
20/09/61,SPALI,ทันหุ้น,บลจ.กสิกรไทยชู 3 กองทุนเด็ด รับสิทธิประโยชน์ภาษีปลายปี
20/09/61,SPALI,ทันหุ้น,คอลัมน์ KSecurities KS(W)hole in ONE: FUND FLOW เริ่มไหลกลับ
11/09/61,SPALI,ทันหุ้น,SPALIแย้มผลงานQ3พุ่ง ยอดขาย8เดือน2หมื่นล.
30/08/61,SPALI,ทันหุ้น,คอลัมน์ KSecurities KS (W)hole in ONE: งาน Thailand Focus จะ...
28/08/61,SPALI,ทันหุ้น,SPALIผุดแนวราบ2.6พันล. กระตุ้นยอดขายไตรมาส3
27/08/61,SPALI,ทันหุ้น,คอลัมน์ KSecurities KS (W) hole in ONE: กำไรตลาดและGDP
27/08/61,SPALI,ทันหุ้น,SPALIตั้งโต๊ะซื้อMKวันแรกที่ราคา4.10บ.
16/08/61,SPALI,ทันหุ้น,SPALIปั๊มยอดขายครึ่งหลัง เปิด25โครงการ3หมื่นล้าน
16/08/61,SPALI,ทันหุ้น,คอลัมน์ KSecurities KS (W)hole in ONE: ความกังวลจากปัจจัยภาย...
