Date,Source,HeadLine
30/03/59,ทันหุ้น,ตลท.แย้มกำไรบจ.ปีนี้เด่นจี้16บจ.แจงก่อนเพิกถอน
01/02/59,ทันหุ้น,'ตลท.'จี้บจ.16รายชี้แจงติดบ่วงมีสิทธิ์จ่อเพิกถอน
27/11/57,ทันหุ้น,JASผุดกองทุนใหม่5.7หมื่นล.ปีนี้กำไรทะลุ3พันล.-เป้า9.80บ.
10/11/57,ทันหุ้น,คอลัมน์ STOCK FUTURES TFEX: Stock Futures by TFEX
29/09/57,ทันหุ้น,คอลัมน์ เวทีวิเคราะห์
11/09/57,ทันหุ้น,คอลัมน์ เวทีวิเคราะห์
10/09/57,ทันหุ้น,คอลัมน์ ไม้นี้ต้องเคาะ: 'คดี BANPU & JAS'
10/09/57,ทันหุ้น,JASเด้งรับศาลยกฟ้องTT&Tโบรกส่องราคามีลุ้นวิ่งชน8บ.
01/09/57,ทันหุ้น,คอลัมน์ STOCK FUTURES TFEX: Stock Futures by TFEX
05/08/57,ทันหุ้น,คอลัมน์ CLASSIC GOLD FUTURES
18/07/57,ทันหุ้น,JASอวดงบQ2กำไรโต885ล.อานิสงส์ลูกค้าบรอดแบนด์พุ่ง
25/06/56,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
22/03/56,ทันหุ้น,JTSงานประมูลเต็มพอร์ตลุ้นกำไรพิเศษเฉียด200ล.
12/02/56,ทันหุ้น,MFECรับงานใหม่5พันล.เปิดบ้านรับญี่ปุ่นร่วมทุน
25/01/56,ทันหุ้น,MFECตุนงานในมือ2พันล.เปิดเกมรุกวางระบบ3G
20/08/55,ทันหุ้น,คอลัมน์ ไม้นี้ต้องเคาะ: JMART & JAS
02/04/55,ทันหุ้น,"คอลัมน์ เด็กแนว ""เล่าหุ้น"""
02/03/55,ทันหุ้น,"""JTS""ปีนี้รายได้-กำไรพลิกแรงโปรเจ็กต์สื่อสารจ่อ2หมื่นล้าน"
03/02/55,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
23/01/55,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
30/12/54,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
23/12/54,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
19/12/54,ทันหุ้น,"คอลัมน์ เด็กแนว""เล่าหุ้น"""
03/10/54,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
26/09/54,ทันหุ้น,"บล.ฟิลลิปแนะ ""ซื้อ"" JASเป้า2.22บาท"
08/09/54,ทันหุ้น,หุ้นสื่อสารคึกเมินมติ DSI JTS พุ่งแตะแนวต้าน2.20 บ.
26/07/54,ทันหุ้น,JASอัพไซด์สูงเกิน20%Q2/54กำไรปกติโต67%
24/06/54,ทันหุ้น,JASสปีดแรงลูกค้าวิ่งฉิวหนุนกำไรไตรมาส2แจ่ม
21/06/54,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
31/05/54,ทันหุ้น,คอลัมน์ กระซิบหน้าจอ
16/03/54,ทันหุ้น,JASเด้งสวนตลาดแดงเดือด พื้นฐานงดงาม-กำไรชุ่มปอด
02/03/54,ทันหุ้น,'JAS'ปีนี้ผลงานโตมหึมา ฟันธงกำไรพุ่ง1.15พันล.
09/02/54,ทันหุ้น,ต่างชาติรายใหญ่ชอบ'JAS' กำไรพุ่ง8เท่าเป้า2.80บาท
29/12/53,ทันหุ้น,ต่อท่อลมหายใจTT&Tศาลไฟเขียวแผนฟื้นฟู
20/12/53,ทันหุ้น,คอลัมน์ นายเรียนรู้: ส่องหุ้นปันผล เล็งGLOW
15/12/53,ทันหุ้น,คอลัมน์ คุยกันหลังกระดาน
13/12/53,ทันหุ้น,คอลัมน์ คู่หูคู่หุ้น: TT&T เทคนิคโดดเด่น
13/12/53,ทันหุ้น,คอลัมน์ นายเรียนรู้: Weekly Outlook: Accumulate Buy
09/12/53,ทันหุ้น,คอลัมน์ คุยกันหลังกระดาน
23/11/53,ทันหุ้น,คอลัมน์ คุยกันหลังกระดาน
19/11/53,ทันหุ้น,คอลัมน์ คุยกันหลังกระดาน
15/11/53,ทันหุ้น,คอลัมน์ คุยกันหลังกระดาน
20/10/53,ทันหุ้น,LOXLEY ล้างขาดทุนโบรกส่องราคา 3.40 บาท
07/10/53,ทันหุ้น,JTS-JASแผ่วฟื้นฟูTT&Tช้าส่องเทคนิคหุ้นลูกเด่นกว่าแม่
04/10/53,ทันหุ้น,คอลัมน์ คุยกันหลังกระดาน
30/08/53,ทันหุ้น,คอลัมน์ เกาะติดข่าวห้องค้า: CK-TT&T-JAS เทรดเงินสด 3 สัปดาห์
09/08/53,ทันหุ้น,JASโหนกระแสประมูลไลเซนส์3G ดันราคาทดสอบแนวต้าน1.20บาท
05/08/53,ทันหุ้น,คอลัมน์ บาดตาเซียน: ราคาบาดตา พานพาให้สงสัย... (TT&T)
04/08/53,ทันหุ้น,คอลัมน์ จับชีพจรหุ้นร้อน
