Date,Source,HeadLine
14/01/63,ทันหุ้น,10 หลักทรัพย์ที่มีราคาลดลงต่ำสุด: ณ วันจันทร์ที่ 13 มกราคม...
10/01/63,ทันหุ้น,10 หลักทรัพย์ที่มีราคาเพิ่มขึ้นสูงสุด: ณ วันพฤหัสบดีที่ 9...
25/12/62,ทันหุ้น,คอลัมน์ บาดตาเซียน: BH - เป็นไปได้ที่ 'ขวา จะสวน ซ้าย'
10/10/62,ทันหุ้น,คอลัมน์ บาดตาเซียน: SPCG - กฎของนักเก็งกำไร
16/08/62,ทันหุ้น,คอลัมน์ บาดตาเซียน: DOHOME - ดูว่า กำลังขี่หลังเสือ
22/04/62,ทันหุ้น,คอลัมน์ บาดตาเซียน: TACC - ดูท่า 'น่าจะไล่ไม่เลิก'
19/04/62,ทันหุ้น,คอลัมน์ บาดตาเซียน: SAWAD - จะใช่ จะได้(...?) จริงหรือ
27/03/62,ทันหุ้น,คอลัมน์ บาดตาเซียน: PRM - แนวโน้ม ยังเรียกว่า ขึ้น
15/03/62,ทันหุ้น,คอลัมน์ บาดตาเซียน: CMC-เล็กๆ ยังน่าจะดูแล้วดีกว่า
26/02/62,ทันหุ้น,คอลัมน์ บาดตาเซียน: DTAC - สัญญาแล้วนี่ ว่าจะไม่หยุด
14/02/62,ทันหุ้น,หึ่งโกลเบล็กโดนหยวนต้าเทกธนพิศาลปฏิเสธแต่พร้อมเจรจา
18/01/62,ทันหุ้น,คอลัมน์ บาดตาเซียน: CHO - ดูทรงแล้ว... ก็ควรจะ(?) นะ
09/01/62,ทันหุ้น,คอลัมน์ บาดตาเซียน: GULF - ดีจนได้ใจ (ยังพอได้อยู่)
13/12/61,ทันหุ้น,คอลัมน์ บาดตาเซียน: M - คาดไว้แล้วว่า ยังน่าจะดูดี
27/11/61,ทันหุ้น,คอลัมน์ บาดตาเซียน: JMT - หุ้นดีๆ ก็ลงได้เหมือนกัน
23/11/61,ทันหุ้น,คอลัมน์ บาดตาเซียน: SET Index - ความสวย ที่น่ากลัว
22/11/61,ทันหุ้น,คอลัมน์ บาดตาเซียน: SAWAD - ว่ากันด้วยเส้นแนวโน้ม
14/11/61,ทันหุ้น,คอลัมน์ บาดตาเซียน: TRITN - อาจจะ ยังมีลุ้นขึ้น
02/10/61,ทันหุ้น,คอลัมน์ บาดตาเซียน: WHAUP - เอากันใครครบๆ ไปเลย
30/08/61,ทันหุ้น,คอลัมน์ บาดตาเซียน: CKP-ถ้าเล่นสั้นยาก ก็มองภาพใหญ่
29/08/61,ทันหุ้น,คอลัมน์ บาดตาเซียน: PLANB-แค่ต้องรู้ ว่าอะไรสำคัญ
17/07/61,ทันหุ้น,คอลัมน์ บาดตาเซียน: KCE-อีกสักรอบไหม
20/06/61,ทันหุ้น,คอลัมน์ บาดตาเซียน: SET Index-อ่านเกม ตอนที่ 1
