Date,Source,HeadLine
28/11/62,ทันหุ้น,สุเทพี อัศวะธนกุล เทรดหุ้นตัวเอง 7.7 ล้านหุ้น
26/11/62,ทันหุ้น,'สุรินทร์ ประสิทธิ์หิรัญ' ซื้อหุ้น RJH
11/11/62,ทันหุ้น,'ปิยะดา สุวรรณนภาศรี' เทหุ้น UKEM 6.4 ล้านหุ้น
08/11/62,ทันหุ้น,'ศึกษิต เพชรอำไพ'ขาย MTC 6.03 แสนหุ้น
22/10/62,ทันหุ้น,'แสงเดือน อิ๋วบำรุง' ซื้อหุ้น EIC
17/10/62,ทันหุ้น,'ปิยะนันท์ และ ปิยะดา สุวรรณนภาศรี' รวมทิ้ง UKEM 23.9 ล้าน...
12/09/62,ทันหุ้น,'แฟรงค์ ฟง คึ่น เหลียง'เทหุ้น NOBLE ทิ้ง
11/09/62,ทันหุ้น,'หมอบุญ วนาสิน' ซื้อหุ้น THG รวมกว่า 9.98 ลบ.
10/09/62,ทันหุ้น,'ธนพันธุ์ คงนันทะ' ขายหุ้น ICHI
09/09/62,ทันหุ้น,'ประเสริฐ จิราวรรณสถิตย์'เทหุ้น SPA ทิ้ง ได้เงิน 34 ลบ.
06/09/62,ทันหุ้น,'ขจร ธนะแพสย์' ขายหุ้น THG
04/09/62,ทันหุ้น,'บุญ วนาสิน' ทิ้ง 18.82 ล้านหุ้น
02/09/62,ทันหุ้น,'นฤมล น้อยอ่ำ' ซื้อหุ้น BDMS กว่า 23 ล้านบาท
29/08/62,ทันหุ้น,แสงเดือน อิ๋วบำรุง โกยหุ้น EIC
27/08/62,ทันหุ้น,10หุ้นติดโผดัชนีFTSE BGRIM-KTCเด่นเข้าตา
22/08/62,ทันหุ้น,'อิทธิพัทธ์-อรพัทธ์ พีระเดชาพันธ์'เทหุ้น TKN รวมกัน 41.05...
20/08/62,ทันหุ้น,'บุญ วนาสิน'กวาดหุ้น THG 3.3 แสนหุ้น เข้าพอร์ต
19/08/62,ทันหุ้น,'ศึกษิต เพชรอำไพ' ซื้อหุ้น MTC กว่า 32 ลบ.
06/08/62,ทันหุ้น,'ศิริธัช โรจนพฤกษ์' เข้าซื้อหุ้น EE กว่า 11 ล้านหุ้น
06/06/62,ทันหุ้น,คอลัมน์ เรื่องเล่าปากซอย
06/06/62,ทันหุ้น,'VNG'ปรับโมเดลรุกค้าปลีก เร่งปั๊มยอดหวังพลิกกำไรปี63
04/02/62,ทันหุ้น,คอลัมน์ STOCK FUTURES TFEX: Stock Futures by TFEX
01/02/62,ทันหุ้น,'อุชัย' ทิ้ง OCEAN โกยเงิน 211 ลบ.เข้ากระเป๋า
